n,K,alpha_prior,PAC_Chernoff,PAC_ChernoffSubGaussian,expectedBMALoss,logMLL,empiricalGibbsLoss,KLPosteriorPrior,expectedGibbsVarLoss,expectedGibbsLoss,PAC_ChernoffFull,PAC_ChernoffSubGaussianFull
100,2,0.01,0.857877361851102,0.8419776619674004,0.6793287868580241,1.20321224623273,0.6957642666162532,0.5074479796164766,0.036274435404023884,0.689287728875927,0.847918419833199,0.8320187199494975
100,4,0.01,0.940832030842123,0.9055326125045609,0.690318708449049,1.2126903960459219,0.6909557251284193,0.5217346709175026,0.0762581161997174,0.7106796020355495,0.9204711372556225,0.8851717189180603
100,6,0.01,0.9966675070208864,0.9576886892090031,0.6853648717339174,1.2256664906580252,0.7102318767482313,0.5154346139097941,0.10249924311660108,0.7190183409720379,0.9630140377827658,0.9240352199708826
100,8,0.01,1.181995480628963,1.2776588396466335,0.6875493938942763,1.2218799576156074,0.6032557733536877,0.6186241842619197,0.6482144751008414,0.7519158862456358,1.1176289882776036,1.213292347295274
100,10,0.01,1.0339378043782264,2.8684822211684775,0.5030064499358109,1.1293762186212966,0.2667548592118252,0.8626213594094714,7.139440111347868,0.767530497495439,0.7694137568185982,2.6039581736088495
100,12,0.01,1.2364383754520176,2.07543858253978,0.6154644375743357,1.2051333565097182,0.5140752047719428,0.6910581517377754,3.146369856415138,0.7786407936755207,1.0732620193508327,1.9122622264385951
100,14,0.01,1.3971854462786553,2.8268375115408055,0.7115666230194126,1.1787433749585194,0.42486135985296286,0.7538820151055566,6.882583695568533,0.9908703266252359,1.117881742672832,2.5475338079349825
100,16,0.01,1.3980517876923009,2.822200783073348,0.6711814314342183,1.1823924734430564,0.41680455576402087,0.7655879176790356,6.8061935738145785,0.9948235599145874,1.0744096592119319,2.498558654592979
100,18,0.01,1.6787111465456275,3.517812687682854,0.8306336238171933,1.1735330229036935,0.38684693999485265,0.7866860829088409,11.249532962044281,1.2967525579015802,1.2125922124612405,3.051693753598467
100,20,0.01,1.2631162109081686,3.4713692258712365,0.573578342717738,1.1103371266961133,0.23086301148248212,0.8794741152136312,10.880225183580707,1.0322166644847526,0.804477889141154,3.012730904104222
100,22,0.01,1.8668832283169436,3.816475488782601,0.6871520401096779,1.1735973802815043,0.3908069440035529,0.7827904362779514,13.528016094801362,1.4783691525798224,1.0756661158467993,3.0252583763124568
100,24,0.01,1.6085687926360652,3.690847943061945,0.7752441957863493,1.1259349865605666,0.2819519688513555,0.8439830177092111,12.504853864322772,1.3265995856942923,1.0572134027281224,3.1394925531540023
100,26,0.01,1.9872935337676563,4.177181270525816,0.8242934744288092,1.1366065522725373,0.3135655869248311,0.8230409653477062,16.43762978073854,1.6737115279696588,1.1378754802268065,3.3277632169849665
100,28,0.01,1.781122663825843,3.95310895849773,0.7336770369876217,1.1376265534840597,0.2977089384788602,0.8399176150051995,14.442564765949466,1.483395248268714,1.0314044525447508,3.2033907472166376
100,30,0.01,1.7015462120590095,4.301522075918326,0.7609190032665055,1.084166873961998,0.1770430947772489,0.9071237791847493,17.13015121910378,1.524447458335741,0.938017756989774,3.5379936208490905
100,32,0.01,1.9241507661352213,4.150721382521405,0.7806358763996454,1.1341370681255225,0.29025564817016547,0.843881419955357,16.03904444995528,1.6338708618202435,1.070915780714623,3.2974863971008066
100,34,0.01,2.1165178995014675,4.589206335324295,0.9354129743040969,1.104672710562413,0.22819418066739403,0.876478529895019,19.767442266484284,1.8882852847816194,1.163645589023945,3.636334024846773
100,36,0.01,2.1615308415697188,4.5013878050534455,0.8948944293623735,1.1310766166014226,0.28784127482874766,0.8432353417726748,19.12052470681852,1.873661118668353,1.1827641522637393,3.522621115747466
100,38,0.01,2.3735926971056838,4.961881786091153,0.905970789388504,1.0824757219763808,0.1837484967327213,0.8987272252436594,23.188069754559645,2.18979397124996,1.0897695152442277,3.678058604229697
100,40,0.01,1.983451473067797,4.586242098042243,0.6986210756771489,1.0800128151049555,0.17640849347319548,0.90360432163176,19.652821360522623,1.8069897040810363,0.8750828446639096,3.4778734696383555
100,42,0.01,2.4545168032941485,4.8569298060163,0.8300680640232571,1.1204558300797944,0.2576798372112622,0.8627759928685321,22.307097879948547,2.196800429982145,1.0877844373352605,3.490197440057412
100,44,0.01,2.685409402372731,5.156357650976406,0.8456931382187337,1.1059921591252562,0.2249795019186476,0.8810126572066085,25.156489139495307,2.4603894321627604,1.0707131084287043,3.541661357032379
100,46,0.01,2.6285674777405332,5.151241721398044,1.0016295692755388,1.0935961883937324,0.19871907183251547,0.894877116561217,25.010353695632165,2.4298016780004748,1.2003953690155973,3.7230696126731084
100,48,0.01,2.627994131447576,5.211255768474889,0.814797077128567,1.080506465759914,0.17391972361524502,0.9065867421446688,25.56596286578409,2.4540226943982137,0.9887685141779294,3.572030151205242
100,2,10.0,0.8229959853862007,0.8080501064875474,0.6820936723453449,1.1994171443784802,0.6941058563605175,0.5053112880179629,0.022110803522170142,0.6896601444789742,0.8154295132525714,0.8004836343539181
100,4,10.0,0.8619985889039693,0.8321535100399078,0.6884678990362126,1.1983733085870663,0.6862680330280548,0.5121052755590113,0.03582593838206867,0.6993604820356609,0.851106005904521,0.8212609270404595
100,6,10.0,0.8734298746480964,0.8414085466278919,0.68560035515497,1.2028982048176544,0.6955849561294057,0.5073132486882487,0.03608961171995905,0.6995989477489261,0.8594312820541403,0.8274099540339358
100,8,10.0,0.8621049778043124,0.8295783779931176,0.6566400026275528,1.1822849498180028,0.6382454688741102,0.5440394809438927,0.05845058727994156,0.6709757412474459,0.8477692391844194,0.8152426393732246
100,10,10.0,0.6974163198248868,0.7027117762255076,0.5089479746851036,1.119789462737848,0.4969895385241305,0.6227999242137173,0.05995690634101592,0.5217324371240721,0.6846318573859183,0.689927313786539
100,12,10.0,0.8276285423329227,0.800909233580799,0.61466970838914,1.1638051332011243,0.6080408285402679,0.5557643046608564,0.05829027238234538,0.6296693741481934,0.8126288765738694,0.7859095678217457
100,14,10.0,0.8105844034103743,0.7817572431426759,0.6089673081658733,1.1613722339585102,0.5911681288681981,0.570204105090312,0.05564877394648299,0.6248165004861171,0.7947352110901305,0.7659080508224321
100,16,10.0,0.8052891224340742,0.7766353586099237,0.6063375538733408,1.1532678206172218,0.583112516523237,0.5701553040939848,0.057379489796994566,0.6229471224119624,0.7886795538954526,0.7600257900713021
100,18,10.0,0.8085133652658186,0.7796744174952598,0.6088177449618227,1.1529547788217716,0.5856394836610491,0.5673152951607224,0.05793821070948268,0.6263749589738501,0.7909561512537913,0.7621172034832324
100,20,10.0,0.7656364739256667,0.7396959318157016,0.5764203676171532,1.1417813829361056,0.5606826663547804,0.5810987165813253,0.048280197798398934,0.5924513681296172,0.7496054734132027,0.7236649313032376
100,22,10.0,0.8107164157927558,0.7765510338620546,0.615569409216897,1.1604636056202275,0.5974307317308319,0.5630328738893956,0.049704474596323156,0.6331356890539407,0.793150135955712,0.7589847540250109
100,24,10.0,0.8045330359568081,0.7681479792669715,0.6150573654871647,1.154898476755669,0.5860973194588593,0.5688011572968095,0.05088477079086684,0.6329067516671455,0.7866836497768274,0.7502985930869908
100,26,10.0,0.8166905379929547,0.7811934656949466,0.61902443762036,1.1570547825629074,0.5969090662824086,0.5601457162804989,0.05285055711740605,0.6382586390422472,0.7974563365710674,0.7619592642730594
100,28,10.0,0.8111724634003709,0.7770979143363951,0.6182376146876513,1.1573508276436126,0.5969959578756994,0.5603548697679133,0.050462240014242495,0.636865775522491,0.7925443025655311,0.7584697535015553
100,30,10.0,0.8033770852208382,0.7687000450038628,0.6077003693206015,1.1531699322628515,0.5878515419575047,0.5653183903053469,0.050487658084252554,0.6270899814056983,0.7839874731357414,0.749310432918766
100,32,10.0,0.8230533130002514,0.7856970351902656,0.630304465940032,1.1624501243777088,0.6039769884958772,0.5584731358818317,0.051525410253164504,0.6502137021306851,0.8031440768095983,0.7657877989996125
100,34,10.0,0.8208556542251391,0.7823426752993087,0.6310601814776483,1.1639514325353977,0.6048929301681994,0.5590585023671981,0.049086949974785264,0.6504716923845649,0.8014441433182224,0.7629311643923921
100,36,10.0,0.8298075685752389,0.7941391231289288,0.6314221684983883,1.167799008377897,0.6162870174702537,0.5515119909076432,0.04990280325073727,0.6515931472441915,0.8096365898294356,0.7739681443831256
100,38,10.0,0.8150624098948739,0.7810077058415925,0.6309041884979478,1.1573881632680694,0.5997367205079308,0.5576514427601387,0.05133755394013668,0.650911449877726,0.7950551485150957,0.7610004444618144
100,40,10.0,0.8159623263167064,0.7774648442631107,0.6302367548373766,1.1624421754325072,0.6044844085616967,0.5579577668708106,0.04672643618380188,0.6494038209591443,0.7967952601949387,0.758297778141343
100,42,10.0,0.8399334628538374,0.7995086096508133,0.640446686538258,1.171959439445419,0.6231450408005851,0.5488143986448337,0.04928283125770853,0.6610173739142188,0.8193627754778766,0.7789379222748525
100,44,10.0,0.8238726418641997,0.7875096032640485,0.6389372166631886,1.1649034344706937,0.6128978429607541,0.5520055915099396,0.04806317145139343,0.6586415404689318,0.8041683180584566,0.7678052794583053
100,46,10.0,0.8290192971552441,0.7896044894227204,0.6405141300886475,1.1662634520129975,0.6153990627790429,0.5508643892339548,0.04792682972763962,0.6604273897750332,0.8091060374688585,0.7696912297363347
100,48,10.0,0.8348601285362264,0.7961536389756951,0.6424279082665068,1.1708712774463454,0.6203621488937382,0.5505091285526071,0.048831181270104426,0.6631494829584286,0.8141385538443046,0.7754320642837733
