label,map_acc_test,map_nll_test,bayes_loss_test,gibbs_loss_test,bayes_loss_train,gibbs_loss_train,bma_acc_test,bma_acc_train,kl,inverse_rate,variance
ConvNN-2k,0.2907,1.9453555877685547,1.9106005430221558,1.9126921892166138,1.9040013551712036,1.9059960842132568,0.3011,0.3028,18601.041015625,0.5759181283211969,0.5310063362121582
ConvNN-5k,0.4411,1.5318750366210938,1.5240782499313354,1.532064437866211,1.4710297584533691,1.4786243438720703,0.4449,0.4718,36491.22265625,0.9454954093951861,1.0358703136444092
ConvNN-9k,0.5253,1.3304293701171874,1.3206523656845093,1.3314882516860962,1.2139019966125488,1.223555326461792,0.5281,0.5658,70533.53125,1.1642600006035053,1.2567081451416016
ConvNN-15k,0.5641,1.2260292373657227,1.219185471534729,1.2337275743484497,1.0294594764709473,1.0417439937591553,0.5657,0.6382,115984.640625,1.2063798244906883,1.5155081748962402
ConvNN-21k,0.5727,1.2325462310791016,1.2233911752700806,1.2390928268432617,0.9999882578849792,1.0128676891326904,0.5737,0.6502,155788.09375,1.2300223933919405,1.6819355487823486
ConvNN-30k,0.6063,1.1537252655029298,1.1412596702575684,1.1642019748687744,0.8256961703300476,0.8417670726776123,0.6078,0.7096,219850.921875,1.1641728712997843,1.8638331890106201
ConvNN-37k,0.5967,1.196879280090332,1.1796892881393433,1.2075568437576294,0.8014582991600037,0.8193162679672241,0.5982,0.7222,274387.0,1.2079107439794547,2.077148914337158
ConvNN-48k,0.6281,1.1113691146850586,1.0961110591888428,1.1268748044967651,0.685775876045227,0.7034032344818115,0.6287,0.7674,357609.03125,1.12659676300284,2.168102741241455
ConvNN-62k,0.6361,1.1795821990966797,1.1456668376922607,1.195845127105713,0.5405156016349792,0.5627396702766418,0.6382,0.8186,452669.1875,1.196109008894477,2.958404541015625
ConvNN-72k,0.6449,1.2075273162841798,1.1636130809783936,1.2252837419509888,0.47908318042755127,0.5026537775993347,0.6471,0.8446,528724.1875,1.2251938205073483,3.5408434867858887
ConvNN-87k,0.617,1.3439829666137695,1.2903937101364136,1.3725804090499878,0.44248685240745544,0.46930283308029175,0.6182,0.856,641880.8125,1.3715486981435088,4.223493576049805
ConvNN-100k,0.6244,1.4085353302001953,1.331992506980896,1.4331716299057007,0.40722915530204773,0.4366913437843323,0.6246,0.8804,733047.8125,1.4332286832850367,4.963265895843506
