model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,inverse rate,s value,variance,lambda,expected cumulant
ConvNN-2k,2548.0,all,kron,1.0,0.2909,0.28262,0.2883,0.28312,1.9459634,1.9846267,1.9570585,1.9961426,1.70791234375,2.1063542,0.11021168,0.33012340423353204,0.1104902000151596,0.5651826858520508,0.7296834,0.1303953677415848
ConvNN-5k,5001.0,all,kron,1.0,0.4407,0.46408,0.4409,0.46446,1.5306921,1.579538,1.4900992,1.5362751,1.7463359375,1.7462877,0.21001256,0.6072833043283514,0.21029307607268072,1.1581460237503052,0.75114477,0.24586459994316096
ConvNN-9k,9663.0,all,kron,1.0,0.5261,0.55532,0.527,0.556,1.3262565,1.4112574,1.247125,1.3252225,1.67878765625,1.6801084,0.3548859,0.8169883137453864,0.3551693135974312,1.465267300605774,1.1374477,0.5741121768951416
ConvNN-15k,15888.0,all,kron,1.0,0.5638,0.62898,0.5634,0.6295,1.2149171,1.3774815,1.0613544,1.1999799,1.8880484375,1.8847313,0.68475133,1.117641945126936,0.6850413410379801,1.9843864440917969,2.312453,1.8994531631469727
ConvNN-21k,21344.0,all,kron,1.0,0.5731,0.64234,0.5731,0.64108,1.2158508,1.4388041,1.0320783,1.2146927,2.12954796875,2.124038,0.9093452,1.271170866321785,0.9096397030052192,2.338616132736206,3.3828342,3.390520572662353
ConvNN-30k,30119.0,all,kron,1.0,0.6071,0.70606,0.6062,0.70632,1.119749,1.4409553,0.8802221,1.1231812,2.3512815625,2.3437417,1.2205604,1.389351247132058,1.220861127433708,2.8980154991149902,8.932589,11.189641952514648
ConvNN-37k,37591.0,all,kron,1.0,0.5961,0.71902,0.5965,0.71828,1.1448641,1.5491555,0.86412454,1.1576314,2.725536875,2.7083185,1.5506871,1.5287190236627193,1.5509944300997611,3.4341912269592285,20.397188,29.63057518005371
ConvNN-48k,48987.0,all,kron,1.0,0.6278,0.76104,0.6261,0.75876,1.0577146,1.5693622,0.77796024,1.1378826,2.9847765625,2.9632688,1.8253863,1.5645376739734125,1.825699124193643,4.0613813400268555,73.383026,112.98480987548828
ConvNN-62k,62006.0,all,kron,1.0,0.6348,0.8074,0.6343,0.80416,1.0549518,1.8021474,0.6951873,1.1661952,3.637941875,3.6388474,2.4726522,1.8086616294815148,2.472977969770555,6.153842926025391,1040.7092,1879.81787109375
ConvNN-72k,72421.0,all,kron,1.0,0.6455,0.83918,0.6439,0.83612,1.0361929,1.9300263,0.64269596,1.1751,4.0569134375,4.0480785,2.8729784,1.930698471807985,2.8733121764546885,7.612339973449707,9380.68,18108.390625
ConvNN-87k,87930.0,all,kron,1.0,0.6184,0.85202,0.6173,0.8491,1.1014471,2.2349157,0.6492125,1.2924614,4.859995625,4.841342,3.5488803,2.2340015749641515,3.549227594763054,9.481279373168945,71594.55,159938.78125
ConvNN-100k,100421.0,all,kron,1.0,0.6238,0.87524,0.622,0.86878,1.0989748,2.4152815,0.62526244,1.3531724,5.334311875,5.32162,3.9684474,2.424657443087039,3.9688030862728847,11.600170135498047,370399.06,898086.875
ConvNN-118k,118551.0,all,kron,1.0,0.6403,0.9261,0.6375,0.92034,1.0583357,2.784139,0.55824447,1.4598885,6.212266875,6.2548,4.7949114,2.7810107830477016,4.795283615883477,16.628494262695312,479557.94,1333651.0
ConvNN-138k,138364.0,all,kron,1.0,0.6324,0.94594,0.6346,0.93842,1.0627896,3.2168212,0.5553161,1.6665574,6.7485875,6.8858204,5.219263,3.222404285997483,5.219643703085221,22.26403045654297,481578.38,1551835.0
ConvNN-153k,153738.0,all,kron,1.0,0.6465,0.95732,0.6455,0.9482,1.0382776,3.519182,0.5711154,1.9206688,7.33905875,7.6034384,5.6827693,3.5085762581380164,5.683159273396628,26.435379028320312,485613.38,1703805.875
ConvNN-175k,175981.0,all,kron,1.0,0.6472,0.9705,0.6467,0.96274,1.0536909,4.013517,0.58700293,2.235664,7.977835625,8.401033,6.16537,4.0046273509550305,6.165769625603671,33.64603042602539,488895.44,1957837.875
ConvNN-193k,193491.0,all,kron,1.0,0.6459,0.9778,0.6433,0.9706,1.0622369,4.490156,0.6056906,2.5628831,8.61447375,9.2131815,6.6502986,4.480547459256545,6.650707924369646,41.371315002441406,489462.38,2193052.75
ConvNN-218k,218355.0,all,kron,1.0,0.6522,0.98954,0.6538,0.9809,1.0559869,5.4164543,0.64350605,3.285622,8.97438,10.173399,6.887777,5.442030327861018,6.8881910740326395,58.34249496459961,491959.06,2677249.25
