label,map_acc_test,map_nll_test,bayes_loss_test,gibbs_loss_test,bayes_loss_train,gibbs_loss_train,bma_acc_test,bma_acc_train,kl,inverse_rate,variance
ConvNN-2k,0.2907,1.9453555877685547,1.9108352661132812,1.9129184484481812,1.9042434692382812,1.9062296152114868,0.3008,0.3032,9953.0732421875,0.4277895816598695,0.529680073261261
ConvNN-5k,0.4411,1.5318750366210938,1.5240576267242432,1.5320513248443604,1.4711517095565796,1.4787479639053345,0.4461,0.4714,19768.111328125,0.7484564466496103,1.0364781618118286
ConvNN-9k,0.5253,1.3304293701171874,1.3205592632293701,1.3314130306243896,1.2139540910720825,1.2236248254776,0.5279,0.5676,37852.66015625,0.9894341735243525,1.2567028999328613
ConvNN-15k,0.5641,1.2260292373657227,1.2186565399169922,1.233152985572815,1.030052900314331,1.0423190593719482,0.5657,0.6372,62027.44140625,1.1237595284506972,1.5113431215286255
ConvNN-21k,0.5727,1.2325462310791016,1.2227927446365356,1.2384201288223267,1.0004100799560547,1.013232946395874,0.574,0.6504,83104.5078125,1.18425058781922,1.6727632284164429
ConvNN-30k,0.6063,1.1537252655029298,1.1404566764831543,1.1634511947631836,0.8255202174186707,0.8416218757629395,0.6093,0.7096,117003.4296875,1.1563164420527716,1.864931344985962
ConvNN-37k,0.5967,1.196879280090332,1.178328037261963,1.2060760259628296,0.801342785358429,0.8191128969192505,0.5984,0.7216,145820.890625,1.2039874131057666,2.064345359802246
ConvNN-48k,0.6281,1.1113691146850586,1.0946874618530273,1.125178337097168,0.6864092946052551,0.7039393782615662,0.6295,0.7666,189874.609375,1.124653186859757,2.151668071746826
ConvNN-62k,0.6361,1.1795821990966797,1.1433271169662476,1.193073034286499,0.5419458150863647,0.5641164183616638,0.6389,0.817,240166.875,1.1932809586426218,2.9350905418395996
ConvNN-72k,0.6449,1.2075273162841798,1.161377191543579,1.2224408388137817,0.4790133535861969,0.5023619532585144,0.6459,0.8444,280365.40625,1.2223120191525474,3.5105533599853516
ConvNN-87k,0.617,1.3439829666137695,1.285421371459961,1.366628646850586,0.44394320249557495,0.47057533264160156,0.6181,0.8572,340056.875,1.3656296468624898,4.1668572425842285
ConvNN-100k,0.6244,1.4085353302001953,1.3270092010498047,1.4271764755249023,0.40868863463401794,0.43818098306655884,0.6249,0.8788,388194.875,1.4272301024195317,4.921418190002441
ConvNN-118k,0.6416,1.495213003540039,1.377434253692627,1.521610975265503,0.2756122350692749,0.30297359824180603,0.6453,0.9274,458154.15625,1.522340428294522,6.674368381500244
ConvNN-138k,0.6318,1.6276090698242187,1.4677776098251343,1.646816611289978,0.22295702993869781,0.2497415691614151,0.6369,0.95,534470.0,1.6457588417069753,8.077739715576172
ConvNN-153k,0.646,1.6027544067382813,1.438099980354309,1.633117437362671,0.20577606558799744,0.23140443861484528,0.6488,0.9538,593669.0,1.6341717313127773,8.347749710083008
ConvNN-175k,0.6489,1.7199080276489258,1.5179427862167358,1.7451860904693604,0.17194810509681702,0.19615113735198975,0.6527,0.969,679341.875,1.7465381688840051,9.900081634521484
ConvNN-193k,0.6464,1.8217490692138671,1.5833288431167603,1.8429665565490723,0.1457100659608841,0.16973692178726196,0.6505,0.9774,746792.1875,1.8444929994954191,11.257765769958496
ConvNN-218k,0.6538,1.8899871337890626,1.611250877380371,1.9092241525650024,0.11236672103404999,0.13209949433803558,0.657,0.9896,842598.375,1.9096807802112505,12.84257698059082
ConvNN-244k,0.6476,2.11769765625,1.7637444734573364,2.12435245513916,0.08706450462341309,0.10473963618278503,0.6502,0.994,945126.3125,2.125058337857497,15.349996566772461
ConvNN-265k,0.654,2.06152919921875,1.7026970386505127,2.0591681003570557,0.0845174789428711,0.10188888013362885,0.6567,0.9956,1023419.0625,2.0608751764485254,14.43178939819336
ConvNN-294k,0.6454,2.1772250091552734,1.7648165225982666,2.1608405113220215,0.07207577675580978,0.08718688040971756,0.6517,0.9972,1134982.75,2.1606695705384205,15.829244613647461
ConvNN-316k,0.6471,2.3030639221191405,1.8472046852111816,2.2839207649230957,0.05946031212806702,0.07245652377605438,0.6512,0.9988,1221767.25,2.287347010148145,18.351932525634766
ConvNN-348k,0.6606,2.214101858520508,1.7652802467346191,2.1928327083587646,0.05406661704182625,0.06553775817155838,0.6638,0.999,1343449.875,2.1921696314194006,17.28775405883789
ConvNN-381k,0.6725,2.177827249145508,1.721740961074829,2.1526265144348145,0.04239087179303169,0.05127330869436264,0.6723,0.9998,1472186.0,2.1520754476697377,17.389301300048828
ConvNN-407k,0.6678,2.1463000244140624,1.688664197921753,2.1114604473114014,0.0449628122150898,0.05453493446111679,0.6711,0.9994,1569515.75,2.1115055797054207,16.426298141479492
ConvNN-442k,0.6594,2.2691788177490233,1.779571294784546,2.227576971054077,0.042314182966947556,0.05142165347933769,0.6615,0.9998,1707009.5,2.230346915725593,17.761140823364258
ConvNN-470k,0.6692,2.228847738647461,1.7442811727523804,2.1994102001190186,0.042676568031311035,0.05207948014140129,0.6718,1.0,1812991.75,2.2007924380661112,17.83108139038086
ConvNN-508k,0.6682,2.227234390258789,1.7316995859146118,2.1843113899230957,0.04047689214348793,0.0494476817548275,0.6722,1.0,1960565.0,2.1818188505508904,17.64836883544922
ConvNN-548k,0.6675,2.182845901489258,1.7047199010849,2.1412312984466553,0.0360766239464283,0.04336053878068924,0.673,1.0,2115288.25,2.138795156279676,17.05695152282715
ConvNN-579k,0.6765,2.08930559387207,1.6537460088729858,2.0693771839141846,0.03590432181954384,0.043028268963098526,0.6783,0.9998,2231725.5,2.0682108168060283,16.51921272277832
ConvNN-621k,0.6816,2.023058120727539,1.5968466997146606,2.004157543182373,0.034642186015844345,0.04139792174100876,0.6852,0.9998,2395162.75,2.0075472076425913,15.406660079956055
ConvNN-654k,0.6721,2.131961920166016,1.6915651559829712,2.110734224319458,0.03499841317534447,0.04165071249008179,0.6735,1.0,2520461.0,2.109572269094081,16.96713638305664
ConvNN-699k,0.667,2.130749676513672,1.6840518712997437,2.1105453968048096,0.03355632349848747,0.03967791423201561,0.6689,1.0,2693840.0,2.1143074473129544,16.111846923828125
ConvNN-746k,0.6803,1.9820286682128907,1.5720710754394531,1.9678852558135986,0.03326430171728134,0.03918658196926117,0.6846,1.0,2874699.75,1.969859540448872,14.796585083007812
ConvNN-781k,0.6844,1.9495119018554687,1.5636415481567383,1.95499587059021,0.03307272121310234,0.038984548300504684,0.6867,0.9998,3010243.0,1.9527988686904862,14.778244972229004
ConvNN-830k,0.6758,2.013829067993164,1.606602668762207,2.004415988922119,0.03325694799423218,0.03932012990117073,0.6781,0.9998,3199567.75,2.003943196440924,14.945331573486328
ConvNN-868k,0.6858,1.9113317138671875,1.5257446765899658,1.9087437391281128,0.03179897367954254,0.037241820245981216,0.6888,0.9998,3344290.0,1.9067027860994805,14.400825500488281
ConvNN-919k,0.6851,1.9168163818359376,1.5394450426101685,1.912811040878296,0.030494634062051773,0.0352926030755043,0.6881,1.0,3543683.25,1.916169217639283,14.18038558959961
ConvNN-973k,0.6861,1.8912613525390625,1.5231070518493652,1.893606424331665,0.03036104328930378,0.03522764891386032,0.6876,0.9998,3750736.0,1.8931613291395062,13.856162071228027
ConvNN-1013k,0.6895,1.867256787109375,1.4903992414474487,1.8646345138549805,0.030769115313887596,0.03576565906405449,0.6922,1.0,3905299.75,1.8647764530409647,13.486948013305664
ConvNN-1069k,0.6899,1.8384931823730468,1.4676998853683472,1.8353880643844604,0.03111649677157402,0.036117859184741974,0.6966,1.0,4120523.75,1.8338141987894874,13.007080078125
