model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expanded kl
ConvNN-2k,2548.0,last_layer,kron,10.0,0.4177,0.42416,1.5954851,1.5968696,1.5742618,1.5756373,1.5839165625,1.5841372715759277,0.0084999310302734,170,1.387454730330761,3.0044522677867884,0.9179536700248718,10.032063,10.914580345153809,4.988739013671875,149780.796875
ConvNN-5k,5001.0,last_layer,kron,10.0,0.4427,0.46386,1.5324309,1.534534,1.4895985,1.4916239,1.5024125,1.502704690246582,0.0110808117675781,260,1.4941133865347662,5.384390434787433,1.0513157844543457,62.86554,88.54385375976562,4.935348033905029,268646.28125
ConvNN-9k,9663.0,last_layer,kron,10.0,0.5262,0.55602,1.3304546,1.3333119,1.2447814,1.2474174,1.26017,1.2605829528808594,0.0131655029296875,340,1.33382982582557,9.98607403462154,1.2576158046722412,99503.5,132710.75,5.090935707092285,498621.625
ConvNN-15k,15888.0,last_layer,kron,10.0,0.5636,0.62868,1.2255454,1.2295182,1.0494195,1.0528075,1.070105078125,1.0703012869644164,0.0174938366699218,430,1.2305584188630088,16.169218531251705,1.5336600542068481,99935.34,122960.10937500001,5.61711311340332,807556.25
ConvNN-21k,21344.0,last_layer,kron,10.0,0.572,0.6412,1.2315869,1.236499,1.0114934,1.0154494,1.03472546875,1.0353129667282104,0.0198635620117187,510,1.2381658325571834,21.429423460692092,1.697214126586914,99939.39,123720.109375,6.17357063293457,1070442.75
ConvNN-30k,30119.0,last_layer,kron,10.0,0.6047,0.70436,1.15442,1.1606334,0.8425459,0.8469984,0.868086875,0.868973999004364,0.02197560546875,590,1.1594258240734627,29.900452424728403,1.873616337776184,99938.09,115840.90625,6.434162139892578,1493880.125
ConvNN-37k,37591.0,last_layer,kron,10.0,0.596,0.71886,1.1958953,1.20327,0.8111746,0.8160385,0.839776875,0.8412459160995484,0.0252074267578125,680,1.2032654800968798,37.03166437025638,2.084994316101074,99965.33,120247.796875,6.734550952911377,1850272.0
ConvNN-48k,48987.0,last_layer,kron,10.0,0.6288,0.76114,1.1096222,1.1183871,0.69745725,0.7027177,0.727248671875,0.728348612575531,0.0256308911132812,760,1.1182765966579218,48.04777815688758,2.1570382118225098,99997.47,111776.78125,7.0679216384887695,2401045.5
ConvNN-62k,62006.0,last_layer,kron,10.0,0.6349,0.80682,1.1748558,1.186731,0.56635183,0.5717992,0.599682578125,0.601488618068695,0.0296893994140625,850,1.188713541227448,60.611527940184025,2.980715751647949,99992.42,118801.73437500001,7.367049694061279,3029017.5
ConvNN-72k,72421.0,last_layer,kron,10.0,0.641,0.83784,1.2015121,1.2163645,0.48617744,0.49178687,0.5204426953125,0.5223960373020172,0.030609169921875,930,1.218121216018491,70.56224672506754,3.558286666870117,99997.33,121738.3046875,7.605743408203125,3526497.5
ConvNN-87k,87930.0,last_layer,kron,10.0,0.6192,0.85158,1.3369962,1.3550609,0.4553775,0.4612169,0.493320390625,0.4959305637645721,0.0347136669921875,1010,1.3528906493183908,85.29707591872172,4.159172534942627,99971.39,135165.0625,7.776113510131836,4263019.0
ConvNN-100k,100421.0,last_layer,kron,10.0,0.6239,0.87398,1.3983011,1.4200574,0.3997289,0.40566248,0.4394749609375,0.4424462318992614,0.0367837548828125,1100,1.4218979428569358,97.20767421857835,4.958797454833984,99991.91,142081.078125,8.009981155395508,4858433.5
ConvNN-118k,118551.0,last_layer,kron,10.0,0.6405,0.92526,1.4794341,1.5092113,0.26713812,0.27222416,0.306738671875,0.3103298465251922,0.0381056884765625,1180,1.5104063377359909,114.62423448337739,6.659611701965332,99993.83,150916.6875,8.503246307373047,5729178.0
ConvNN-138k,138364.0,last_layer,kron,10.0,0.6317,0.94506,1.6024635,1.641348,0.21548963,0.22041488,0.2558505859375,0.2594802968597412,0.039065419921875,1270,1.6462343584301873,133.44947071954743,8.220815658569336,99999.08,164488.46875,8.653059005737305,6670373.0
ConvNN-153k,153738.0,last_layer,kron,10.0,0.6447,0.95612,1.576421,1.6214275,0.18433279,0.18883051,0.2246151953125,0.2281420234537124,0.039311513671875,1350,1.6213579052590732,148.04053863465572,8.329630851745605,99990.34,161972.09375,9.007192611694336,7399899.5
ConvNN-175k,175981.0,last_layer,kron,10.0,0.6471,0.97,1.6840178,1.73879,0.14912269,0.1533164,0.1907593359375,0.1936288226938247,0.0403124291992187,1430,1.7435900068607568,169.11647106883174,10.013642311096191,99999.0,174188.140625,9.130392074584961,8453625.0
ConvNN-193k,193491.0,last_layer,kron,10.0,0.6435,0.9778,1.7726626,1.8405637,0.12636355,0.1302763,0.16679501953125,0.1704289732265472,0.0401526806640625,1520,1.8448652891072312,185.7201433937431,11.395597457885742,99998.97,184298.90625,9.391620635986328,9283800.0
ConvNN-218k,218355.0,last_layer,kron,10.0,0.6528,0.98932,1.8245807,1.919554,0.08678056,0.09028668,0.1273373046875,0.130618061401844,0.0403313818359375,1600,1.9210255862776497,209.3148939899269,13.178437232971191,99996.36,191886.25,9.626826286315918,10463505.0
ConvNN-244k,244962.0,last_layer,kron,10.0,0.647,0.99612,2.020739,2.149817,0.0619538,0.06507547,0.100250107421875,0.103729046216011,0.03865357421875,1690,2.156876845527189,234.53870065844308,15.957990646362305,99998.67,215450.28125,10.02900505065918,11724754.0
ConvNN-265k,265295.0,last_layer,kron,10.0,0.6526,0.99712,1.9574504,2.0959847,0.057378516,0.060580205,0.09405626953125,0.0975267725551128,0.0369465673828125,1770,2.102730803575996,253.71935726473927,15.212394714355469,99990.25,209998.859375,10.247621536254883,12683853.0
ConvNN-294k,294272.0,last_layer,kron,10.0,0.6457,0.99838,2.0432754,2.2210107,0.04804475,0.051185083,0.08281265625,0.0865480245387554,0.0353629418945312,1850,2.2240901005517673,281.0778008081219,16.947118759155273,99986.08,222096.96874999997,10.515892028808594,14051827.0
ConvNN-316k,316801.0,last_layer,kron,10.0,0.6469,0.99948,2.1273098,2.3553188,0.03782794,0.041013803,0.06912373046875,0.0734369307744502,0.0324231274414062,1940,2.3648242927152,302.3672267821882,19.792369842529297,99999.19,236178.14062499997,10.958173751831055,15116424.0
ConvNN-348k,348399.0,last_layer,kron,10.0,0.6597,0.99968,2.0121431,2.2706494,0.034316763,0.037767313,0.063029365234375,0.0681617543387413,0.0303944409179687,2020,2.276028219122842,332.21193498982893,18.764801025390625,99996.375,227262.35937500003,11.388978004455566,16608731.0
ConvNN-381k,381800.0,last_layer,kron,10.0,0.6721,0.9999,1.9369901,2.2511165,0.028863965,0.032728534,0.052289169921875,0.0590366640746593,0.0263081298828125,2110,2.255443947857213,363.72705898127356,19.3133544921875,99998.61,225177.53125,12.027414321899414,18184660.0
ConvNN-407k,407092.0,last_layer,kron,10.0,0.6686,0.99996,1.9066252,2.2155707,0.030812949,0.034862727,0.0563961474609375,0.063208171262741,0.0283454443359375,2190,2.2268786508974348,387.61425403962784,18.32413101196289,99993.11,222284.90625,12.071615219116211,19378894.0
ConvNN-442k,442803.0,last_layer,kron,10.0,0.6571,0.99988,1.9897218,2.3616707,0.030610833,0.03557592,0.0543811328125,0.0635538338923454,0.0279779150390625,2270,2.359910005036699,421.3540013052763,20.06271743774414,99995.86,235559.875,12.216190338134766,21065866.0
ConvNN-470k,470351.0,last_layer,kron,10.0,0.6668,0.99998,1.9336869,2.3112452,0.030778198,0.03597667,0.0551373095703125,0.0645341169714927,0.0285574462890625,2360,2.325747573865238,447.3252202609054,20.13055992126465,99999.3,232125.796875,12.378459930419922,22364372.0
ConvNN-508k,508683.0,last_layer,kron,10.0,0.6679,1.0,1.9209734,2.3246198,0.030034978,0.035681333,0.0523628173828125,0.0629570462834835,0.027275712890625,2440,2.3263014695735857,483.4991020051418,20.133098602294922,99999.55,232145.59375000003,12.706160545349121,24173094.0
ConvNN-548k,548878.0,last_layer,kron,10.0,0.6681,1.0,1.8707601,2.2850204,0.029019374,0.03447189,0.050392021484375,0.060429521214962,0.0259576293945312,2530,2.288349735812771,521.4519029776652,19.42685317993164,99997.7,228308.265625,13.139972686767578,26070762.0
ConvNN-579k,579129.0,last_layer,kron,10.0,0.6776,1.0,1.7770355,2.1920593,0.029787531,0.035744183,0.0507544775390625,0.0618737188982963,0.0261295361328125,2610,2.1945477167408884,549.9667251808476,18.726634979248047,99997.47,218899.25,13.277828216552734,27496466.0
ConvNN-621k,621574.0,last_layer,kron,10.0,0.6815,1.0,1.709015,2.1262796,0.029716972,0.03580106,0.050080830078125,0.0612571884274482,0.0254561279296875,2690,2.1366092477499437,590.016052759196,17.427780151367188,99998.61,213067.93750000003,13.510078430175781,29498926.0
ConvNN-654k,654141.0,last_layer,kron,10.0,0.6707,0.99998,1.8099015,2.240778,0.029634666,0.0356337,0.0498177783203125,0.0608773004639148,0.0252435986328125,2780,2.245446861824478,620.7370546499369,19.1723575592041,99997.41,223918.12499999997,13.90302848815918,31034956.0
ConvNN-699k,699207.0,last_layer,kron,10.0,0.665,1.0,1.7830876,2.246261,0.030781962,0.03751361,0.049787587890625,0.0627436783349514,0.025230068359375,2860,2.252089809946905,663.2929722380153,18.368249893188477,99999.75,224545.125,14.031270027160645,33162710.0
ConvNN-746k,746196.0,last_layer,kron,10.0,0.6805,1.0,1.6747048,2.0901275,0.02967594,0.035698835,0.048184306640625,0.0595438079512119,0.0238449731445312,2950,2.096423016190334,707.6045933752232,16.77628517150879,99996.984,208928.37499999997,14.4769287109375,35378316.0
ConvNN-781k,781406.0,last_layer,kron,10.0,0.6829,0.99996,1.6377097,2.0613666,0.02969985,0.035928868,0.0488452734375,0.0601112993979454,0.024182431640625,3030,2.0722148572536123,740.8023947897475,16.4692440032959,99999.625,206479.90625,14.547769546508789,37038156.0
ConvNN-830k,830585.0,last_layer,kron,10.0,0.6753,1.0,1.6837921,2.1322784,0.031024054,0.037828382,0.050287861328125,0.0627849885499477,0.0249566064453125,3110,2.14297443458314,787.2492179010145,16.935632705688477,99999.625,213509.39062500003,14.630701065063477,39360412.0
ConvNN-868k,868171.0,last_layer,kron,10.0,0.6872,0.99998,1.602539,2.0262656,0.030234398,0.03664315,0.04880765625,0.0605488860571384,0.0239057348632812,3200,2.0337331113879547,822.7019160833961,16.150104522705078,99999.08,202548.734375,15.076400756835938,41133064.0
ConvNN-919k,919971.0,last_layer,kron,10.0,0.6844,0.99998,1.6125829,2.0311613,0.029299928,0.03523586,0.046290478515625,0.0575547852349281,0.02231892578125,3280,2.038626264162911,871.5803468429292,15.928417205810547,99997.59,202986.140625,15.540539741516113,43577016.0
ConvNN-973k,973754.0,last_layer,kron,10.0,0.686,1.0,1.5782042,2.0059998,0.030804537,0.037557755,0.0493791552734375,0.0614507087671756,0.0238929541015625,3370,2.0178635805473,922.344936163036,15.582572937011719,99999.266,200862.53125,15.458666801452637,46115116.0
ConvNN-1013k,1013923.0,last_layer,kron,10.0,0.6878,1.0,1.5491335,1.9849551,0.030501748,0.037199184,0.0474711083984375,0.0601204587125778,0.0229212744140625,3450,1.9908809489437902,960.2593627718807,15.257123947143555,99995.67,198119.21875,15.877403259277344,48010848.0
ConvNN-1069k,1069836.0,last_layer,kron,10.0,0.69,0.99998,1.5425988,1.9551535,0.029885741,0.036058508,0.0471577783203125,0.0583825996565818,0.022324091796875,3530,1.96167184559771,1013.0239008800256,14.733352661132812,99998.484,195151.1875,16.256309509277344,50649052.0
ConvNN-1112k,1112441.0,last_layer,kron,10.0,0.6854,1.0,1.4895048,1.9226241,0.030643428,0.037323132,0.047337529296875,0.0598196409463882,0.0224965087890625,3620,1.9278859252121452,1053.2126370717417,14.012720108032227,99998.984,191733.421875,16.32203483581543,52658440.0
ConvNN-1170k,1170975.0,last_layer,kron,10.0,0.6964,0.99996,1.4831622,1.9013456,0.03041359,0.036968406,0.047156982421875,0.0591938262116909,0.022225419921875,3700,1.9119388238322668,1108.4755512411577,14.62008285522461,99999.3,190084.0625,16.595182418823242,55421544.0
ConvNN-1231k,1231552.0,last_layer,kron,10.0,0.6902,1.0,1.5012484,1.9555264,0.031232722,0.038521606,0.0475906884765625,0.0612856689751148,0.0227640625,3790,1.9672161742788605,1165.6765939045893,15.066399574279785,99998.67,195553.328125,16.72149085998535,58281512.0
ConvNN-1276k,1276680.0,last_layer,kron,10.0,0.6839,1.0,1.5034668,1.9712499,0.03156598,0.039095037,0.047584345703125,0.0616502319979667,0.0225551953125,3870,1.9854635678414467,1208.2442763910515,15.175811767578125,99999.14,197336.40625,16.848670959472656,60409864.0
ConvNN-1339k,1339327.0,last_layer,kron,10.0,0.6907,1.0,1.4858496,1.9304852,0.03146491,0.0389275,0.0473991748046875,0.061325995298624,0.02239849609375,3950,1.9405008489901647,1267.384742501155,15.02383041381836,99999.69,192782.09375,17.186229705810547,63366836.0
ConvNN-1386k,1386951.0,last_layer,kron,10.0,0.6951,0.99998,1.4580088,1.8889555,0.03067549,0.037593473,0.046632431640625,0.0593283213818073,0.0217348486328125,4040,1.9054251217391855,1312.2978571159863,14.40212345123291,99999.95,189230.125,17.471874237060547,65612480.0
ConvNN-1452k,1452219.0,last_layer,kron,10.0,0.699,1.0,1.4343101,1.8370054,0.029802764,0.036001544,0.0458991455078125,0.0571047671020031,0.02110322265625,4120,1.8563506913278118,1373.8982974988173,13.840188980102539,99998.69,184258.734375,17.829395294189453,68692472.0
