model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,optimal lambda,expected cumulant
cifar10_mobilenetv2_x0_5,0.7,last_layer,kron,2.9809165000915527,0.8612,0.91936,0.44619516,0.6586577,0.24905437,0.36476603,0.0134876416015625,1.8359165002536773,1.47115046875,12810,0.5023841358647142,1.471456208085321,2.2974236011505127,21065.523,10581.513332478236
cifar10_mobilenetv2_x0_75,1.37,last_layer,kron,2.440069913864136,0.8789,0.94026,0.38824987,0.62388325,0.19797227,0.31050277,0.0065452294921875,1.0975735488128662,0.78707078125,12810,0.47775572329907395,0.7873628387179337,2.386828899383545,1163.5192,555.0905774268539
cifar10_mobilenetv2_x1_0,2.24,last_layer,kron,2.353572130203247,0.8818,0.94852,0.3825062,0.6253641,0.17888653,0.2849026,0.0056963024902343,0.9807736961841584,0.69587109375,12810,0.46608041980718534,0.6961613271877031,2.370919704437256,705.7022,328.21782072268616
cifar10_mobilenetv2_x1_4,4.33,last_layer,kron,2.3957347869873047,0.8953,0.95626,0.34747976,0.5618724,0.15532178,0.24451995,0.0053088458251953,1.1949830739593506,0.950463125,17930,0.4228007525938872,0.9507584503801669,2.175607204437256,2010.6837,849.1678298267217
cifar10_repvgg_a0,7.84,last_layer,kron,2.76211929321289,0.8926,0.95684,0.38769358,0.5016364,0.14256297,0.1811186,0.0030531744384765,1.078037342619896,0.89691875,12810,0.3865918311200163,0.8972130044712487,1.9120230674743652,2986.21,1153.5471639031894
cifar10_repvgg_a1,12.82,last_layer,kron,2.831250667572021,0.8953,0.95934,0.36878783,0.47953716,0.13714491,0.17461416,0.0029364953613281,1.1182321300029754,0.94361796875,12810,0.36226429546386646,0.9439131572243038,1.7906934022903442,2888.893,1045.5988982148845
cifar10_repvgg_a2,26.82,last_layer,kron,2.96171236038208,0.9021,0.96514,0.3431125,0.43933988,0.11882188,0.14549543,0.0029300680541992,1.287586835885048,1.14209140625,14090,0.3308312075943515,1.1423905642724448,1.5208680629730225,4099.7686,1355.1889912403421
cifar10_resnet20,0.27,last_layer,kron,2.2826874256134038,0.8588,0.92686,0.5039139,0.53197783,0.2300796,0.24340925,0.0116913317871093,0.6137418633937836,0.3703326171875,650,0.4251987035808973,0.3706163397254538,1.6712167263031006,105.1841,44.35352546532613
cifar10_resnet32,0.47,last_layer,kron,2.8384897708892822,0.887,0.96078,0.42552444,0.48112714,0.124280244,0.14127162,0.0060328771972656,0.3778873827075958,0.23661576171875,650,0.3792142376781932,0.23689680986610662,1.8134911060333252,53.267647,19.962953260344648
cifar10_resnet44,0.66,last_layer,kron,2.7952768802642822,0.8985,0.97112,0.38020828,0.45451376,0.092500545,0.11156577,0.0045455242919921,0.2651118429374695,0.15354607421875,650,0.35444435839911054,0.15382546093912808,1.8763456344604492,18.01352,6.230964825290357
cifar10_resnet56,0.86,last_layer,kron,2.65529203414917,0.8926,0.95872,0.38480586,0.48318267,0.13263442,0.16467494,0.0035727966308593,0.2696898010063171,0.10501486328125,650,0.3661478880966205,0.10529327935799646,1.8898813724517822,2.458292,0.794805147493264
cifar10_shufflenetv2_x0_5,0.35,last_layer,kron,3.796424150466919,0.8174,0.87922,0.6377528,0.65382814,0.3724266,0.38239908,0.04289158203125,3.057287519683838,2.6748884375,10250,0.5298781123581303,2.675218252076201,1.9039469957351685,100000.0,52985.13601756095
cifar10_shufflenetv2_x1_0,1.26,last_layer,kron,2.3017053604125977,0.868,0.93548,0.4965426,0.5514398,0.20586388,0.22872765,0.0063307916259765,0.8031270286226273,0.574399375,10250,0.4190673614714327,0.5746871789547384,1.9516270160675049,1420.8593,594.8610509685604
cifar10_shufflenetv2_x1_5,2.49,last_layer,kron,2.1841444969177246,0.8834,0.9556,0.42661455,0.49100995,0.14146614,0.16283625,0.0048127517700195,0.6263348864555358,0.4634986328125,10250,0.3782781418287459,0.46378421870803344,1.7735626697540283,638.7216,241.1506428309494
cifar10_shufflenetv2_x2_0,5.37,last_layer,kron,2.211216449737549,0.8858,0.95876,0.40811813,0.48447368,0.1290968,0.15264687,0.0040814544677734,1.0039386662960053,0.851291796875,20490,0.3656327404764216,0.851585138788935,1.7136292457580566,3091.749,1129.5930831659643
cifar10_vgg11_bn,9.76,last_layer,kron,4.255395412445068,0.8962,0.98634,0.727734,3.1029222,0.5628997,2.517096,0.0036513522338867,3.649590573883057,1.13249453125,5130,3.0036489573727443,1.132793497331106,21.229278564453125,142.27185,426.20190217861096
cifar10_vgg13_bn,9.94,last_layer,kron,4.434414863586426,0.9165,0.99098,0.69714224,2.9461298,0.56111795,2.4510124,0.0032509237670898,3.623085966720581,1.17207359375,5130,2.8156971557082136,1.1723733514281878,19.029075622558594,204.69199,575.1782696615119
cifar10_vgg16_bn,15.25,last_layer,kron,4.331413745880127,0.9186,0.99016,0.7746579,3.4963725,0.6494431,2.9850595,0.0025637677001953,4.0349347341156,1.049875234375,5130,3.326380490802733,1.05017254803712,23.662670135498047,44.463005,146.8507000656955
cifar10_vgg19_bn,20.57,last_layer,kron,4.200628757476807,0.9144,0.99022,0.80407256,3.687617,0.6717687,3.1577508,0.0024564558410644,4.136352485580444,0.978601640625,5130,3.442382310953537,0.978897528786735,24.94512176513672,24.461708,83.22765362312384
