model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,optimal lambda,expected cumulant
cifar10_mobilenetv2_x0_5,0.7,last_layer,kron,1.0,0.8628,0.91868,0.46054238,0.9639275,0.31426176,0.64214563,0.0145300512695312,0.6470243281555176,0.0048786944580078,12810,0.18220512928693244,0.005155107771322512,3.6753735542297363,0.060904097,0.005941931062413586
cifar10_mobilenetv2_x0_75,1.37,last_layer,kron,1.0,0.8786,0.94038,0.42146176,0.90064967,0.27064082,0.5582982,0.0070256268310546,0.5617843210792541,0.0034861505126953,12810,0.15592008427851356,0.003762535974574077,3.640380382537842,0.05355604,0.004587926284839842
cifar10_mobilenetv2_x1_0,2.24,last_layer,kron,1.0,0.8824,0.94806,0.41830918,0.89597154,0.25553128,0.52672595,0.0060985333251953,0.5299087194633484,0.0031827716064453,12810,0.1476271945683686,0.0034591510006245977,3.5452733039855957,0.049034163,0.0037796249736032927
cifar10_mobilenetv2_x1_4,4.33,last_layer,kron,1.0,0.8962,0.95584,0.38913444,0.82169735,0.2347367,0.476879,0.0056910717773437,0.479925160331726,0.0030461596679687,17930,0.1382157463094017,0.0033225363298545825,3.243004560470581,0.05355604,0.004079751698362166
cifar10_repvgg_a0,7.84,last_layer,kron,1.0,0.8927,0.95676,0.37680137,0.52436304,0.14527345,0.19693922,0.0034492388916015,0.1990584716558456,0.0021192565917968,12810,0.09262495833721346,0.0023956147152503905,2.0126900672912598,0.055816986,0.0027744312566413414
cifar10_repvgg_a1,12.82,last_layer,kron,1.0,0.8951,0.95926,0.35984045,0.5025782,0.14015241,0.19044131,0.0033398748779296,0.1924881886100769,0.0020468782043457,12810,0.08803247981189016,0.0023232348802025896,1.877882957458496,0.055816986,0.002590472783666306
cifar10_repvgg_a2,26.82,last_layer,kron,1.0,0.9026,0.96496,0.33592817,0.46089968,0.12330189,0.16016634,0.0033593978881835,0.1622358255434036,0.0020694874572753,14090,0.08138644933534983,0.0023458445853262924,1.5985100269317627,0.060904097,0.002610923604179585
cifar10_resnet20,0.27,last_layer,kron,1.0,0.8587,0.92688,0.49767107,0.5386069,0.2288773,0.24849534,0.0122503039550781,0.2533317679595947,0.0048364276123046,650,0.12203001291705923,0.005112840080265491,1.6965014934539795,0.08909522,0.005759450763491268
cifar10_resnet32,0.47,last_layer,kron,1.0,0.8873,0.96086,0.41247988,0.49660918,0.12506807,0.15135914,0.0067020556640625,0.1548832821083068,0.0035241412353515,650,0.11135159493403446,0.0038005274570599265,1.889554500579834,0.07581219,0.00464128090074567
cifar10_resnet44,0.66,last_layer,kron,1.0,0.8988,0.97118,0.36601132,0.47224954,0.09433771,0.122597255,0.0050824792480468,0.1254627559113502,0.0028655010986328,650,0.10339916317847314,0.003141874147275031,1.960639476776123,0.064295515,0.0035062283430802327
cifar10_resnet56,0.86,last_layer,kron,1.0,0.8927,0.95882,0.37380633,0.50545853,0.13494864,0.17986679,0.0040010314941406,0.1822667750549316,0.0023999842834472,650,0.09691023404753552,0.002676348021566917,1.9859596490859985,0.058643155,0.00300677383538095
cifar10_shufflenetv2_x0_5,0.35,last_layer,kron,1.0,0.8179,0.8795,0.63148326,0.6608842,0.3701474,0.38855058,0.0452664697265625,0.3961216098213195,0.0075710302734375,10250,0.16058748795102817,0.007847497434545476,1.9312944412231445,0.10732405,0.009387401971307162
cifar10_shufflenetv2_x1_0,1.26,last_layer,kron,1.0,0.8677,0.93538,0.48706394,0.5624299,0.20485269,0.23644713,0.0067624188232421,0.2398898167133331,0.003442691040039,10250,0.11367226725241003,0.0037190756327109397,2.00166654586792,0.06853478,0.004071427805457887
cifar10_shufflenetv2_x1_5,2.49,last_layer,kron,1.0,0.8836,0.95564,0.41870585,0.5022775,0.14195499,0.17016764,0.0051293536376953,0.1730481781816482,0.0028805383300781,10250,0.10007307206211158,0.003156911679470975,1.8172177076339722,0.06853478,0.0037015739548205136
cifar10_shufflenetv2_x2_0,5.37,last_layer,kron,1.0,0.8852,0.95884,0.40024903,0.49592847,0.13017939,0.16025783,0.0043681854248046,0.1628053620386123,0.0025475308227539,20490,0.09367830486771722,0.002823897511863422,1.765688180923462,0.06542598,0.003305097118196266
cifar10_vgg11_bn,9.76,last_layer,kron,1.0,0.8966,0.98604,1.3013887,11.847371,1.2048372,11.321678,0.0043354699707031,11.324506516723632,0.002828355102539,5130,1.0101019373553761,0.0031047274082464504,154.24923706054688,0.009043764,0.006030396455397382
cifar10_vgg13_bn,9.94,last_layer,kron,1.0,0.916,0.99056,1.2968367,11.750723,1.2175827,11.306664,0.0039451824951171,11.30925503326416,0.00259056640625,5130,0.9522100170287331,0.002866933956088407,146.36880493164062,0.009043764,0.005744629023915596
cifar10_vgg16_bn,15.25,last_layer,kron,1.0,0.9191,0.98988,1.3499789,12.587119,1.2778237,12.063152,0.0031959606933593,12.06523275177002,0.0020804385375976,5130,0.8716380931385448,0.002356795884674579,157.95114135742188,0.0045218817,0.0015846484540826835
cifar10_vgg19_bn,20.57,last_layer,kron,1.0,0.9169,0.9901,1.3561975,12.701762,1.2827601,12.165327,0.0030411679077148,12.167298430175782,0.0019713580322265,5130,0.8446729474707961,0.0022477131976497383,156.75424194335938,0.0045218817,0.001571797942486959
