model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,optimal lambda,expected cumulant
cifar10_mobilenetv2_x0_5,0.7,last_layer,kron,10.0,0.8625,0.91894,0.49026138,0.5738584,0.25131798,0.2953305,0.0155741162109375,0.3024196108531952,0.0070891162109375,12810,0.15157423943246312,0.007365573733571457,1.8815312385559082,0.10721807,0.008885923955710417
cifar10_mobilenetv2_x0_75,1.37,last_layer,kron,10.0,0.8785,0.94054,0.43454227,0.52357805,0.18988907,0.2292836,0.0087773828125,0.2351448968219757,0.0058612957763671,12810,0.14020591263250304,0.006137728742101227,1.9206798076629639,0.09870422,0.007701186344466035
cifar10_mobilenetv2_x1_0,2.24,last_layer,kron,10.0,0.8828,0.94812,0.42539725,0.51811886,0.1639265,0.20033824,0.0079098529052734,0.2058687760543823,0.0055305316162109,12810,0.13395248802441267,0.005806957966529516,1.862553358078003,0.095878035,0.007036143345852789
cifar10_mobilenetv2_x1_4,4.33,last_layer,kron,10.0,0.8956,0.956,0.38506156,0.46875286,0.14070018,0.17239556,0.007329091796875,0.1775445244503021,0.0051489672851562,17930,0.1256923400655532,0.005425386004035566,1.7574782371520996,0.095878035,0.006625748554645485
cifar10_repvgg_a0,7.84,last_layer,kron,10.0,0.8925,0.95684,0.40311134,0.48244983,0.14160673,0.1674356,0.004327156677246,0.1708429704332351,0.0034073690795898,12810,0.10778236114345846,0.0036837529658084018,1.8272525072097778,0.07581219,0.0044874639589593795
cifar10_repvgg_a1,12.82,last_layer,kron,10.0,0.8952,0.95938,0.38214532,0.4590992,0.13615835,0.16135363,0.0041263214111328,0.1645801351881027,0.003226502380371,12810,0.10160616593603775,0.003502882649183269,1.7095623016357422,0.07581219,0.004200103386279963
cifar10_repvgg_a2,26.82,last_layer,kron,10.0,0.9024,0.9651,0.35388315,0.42172587,0.116047226,0.13398398,0.0040069012451171,0.1370731227731704,0.0030891381835937,14090,0.09177081754256858,0.0033655157050670867,1.4554747343063354,0.07807313,0.003799319176681415
cifar10_resnet20,0.27,last_layer,kron,10.0,0.8586,0.92688,0.5096334,0.5255455,0.23131901,0.23863132,0.0149573852539062,0.2470491873598098,0.0084178643798828,650,0.15259124567451737,0.008694348478011645,1.6434729099273682,0.12629476,0.010577126561885926
cifar10_resnet32,0.47,last_layer,kron,10.0,0.8876,0.9607,0.43584052,0.47224277,0.124428324,0.13531806,0.0077367218017578,0.1405872159051895,0.00526916015625,650,0.1279365960805854,0.005545581279034866,1.7707427740097046,0.095878035,0.00672072813602309
cifar10_resnet44,0.66,last_layer,kron,10.0,0.8986,0.97122,0.39325532,0.4434809,0.09212861,0.104628354,0.0060625244140625,0.1090335197162628,0.0044051654052734,650,0.11933341341333481,0.004681569247817641,1.8167963027954102,0.085703805,0.005545758355963493
cifar10_resnet56,0.86,last_layer,kron,10.0,0.8927,0.95886,0.3991694,0.46529436,0.13210277,0.15285356,0.0050993499755859,0.1568398473024368,0.0039862838745117,650,0.11428001841164459,0.0042626793392577704,1.7979111671447754,0.082595006,0.005176279425013862
cifar10_shufflenetv2_x0_5,0.35,last_layer,kron,10.0,0.8178,0.8793,0.64053607,0.65089995,0.37348205,0.37983456,0.044898642578125,0.389265404214859,0.0094308416748046,10250,0.17511994534626785,0.009707346032884543,1.8938262462615967,0.12163157,0.011592767885983514
cifar10_shufflenetv2_x1_0,1.26,last_layer,kron,10.0,0.8679,0.93538,0.50706846,0.5420282,0.20738125,0.22187394,0.0088501666259765,0.228027210521698,0.006153271484375,10250,0.1423945910768985,0.00642971028974008,1.9111299514770508,0.10096516,0.007947181975823003
cifar10_shufflenetv2_x1_5,2.49,last_layer,kron,10.0,0.8836,0.9557,0.43738598,0.4789718,0.1412457,0.15491275,0.0071870086669921,0.1603344809675216,0.0054217260742187,10250,0.12751137141268545,0.005698150248382953,1.7219269275665283,0.09870422,0.0068877600632397664
cifar10_shufflenetv2_x2_0,5.37,last_layer,kron,10.0,0.8855,0.95894,0.4208639,0.47105882,0.12837704,0.14357153,0.006209839477539,0.1483804525089264,0.0048089266967773,20490,0.11892632632693706,0.005085338614708879,1.6579256057739258,0.0936171,0.0060481987585814245
cifar10_vgg11_bn,9.76,last_layer,kron,10.0,0.8963,0.98648,0.470968,1.2729245,0.2563133,0.7077393,0.0041274108886718,0.7106103977012634,0.0028711041259765,5130,0.19108765699302566,0.003147477286681519,6.338670253753662,0.034196734,0.003387096572055273
cifar10_vgg13_bn,9.94,last_layer,kron,10.0,0.9171,0.99088,0.44052798,1.2213396,0.2658633,0.74316496,0.0036644351196289,0.7457386830711364,0.0025737265014648,5130,0.17591682153297938,0.0028500937144983756,5.917149543762207,0.034196734,0.003165687112954173
cifar10_vgg16_bn,15.25,last_layer,kron,10.0,0.9191,0.99024,0.49995175,1.4815696,0.33167437,0.98424906,0.0029634802246093,0.9864117163658144,0.0021626609802246,5130,0.18967598681090947,0.002439019971783321,7.939580917358398,0.026566055,0.0025999226638013804
cifar10_vgg19_bn,20.57,last_layer,kron,10.0,0.9165,0.9901,0.51727015,1.5388741,0.3396947,1.0163839,0.0028699548339843,1.0184781150054931,0.0020942286682128,5130,0.1858915812155928,0.0023705862910979075,7.847213268280029,0.026566055,0.0025678196185405775
