model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,expanded kl
ConvNN-265k,265295.0,last_layer,kron,0.1000000014901161,0.6536,0.9971,0.6529,0.99712,1.9372572,2.0982563,0.05941479,0.063521564,0.15808994140625,0.1623930874443054,0.0988715234375,1770,2.1924992887504837,26331.142250678662,15.32901382446289,299999.25,631416.9999999999,43.30711364746094,0.004112481880187988,1316525824.0
ConvNN-294k,294272.0,last_layer,kron,0.1000000014901161,0.645,0.99846,0.645,0.99852,2.0160012,2.2262588,0.050388142,0.05462169,0.14965724609375,0.1542973726153373,0.09967568359375,1850,2.3271855885878585,29218.033432662458,17.036632537841797,299999.56,668936.6250000001,44.296546936035156,0.004007843542098999,1460867456.0
ConvNN-316k,316801.0,last_layer,kron,0.1000000014901161,0.6455,0.99948,0.6456,0.9995,2.089082,2.3713279,0.041744787,0.04681994,0.138373232421875,0.1450521863031387,0.09823224609375,1940,2.478538138149611,31459.794584447995,19.932716369628906,299999.56,712100.5624999999,45.549156188964844,0.004202612781524658,1572953344.0
ConvNN-348k,348399.0,last_layer,kron,0.1000000014901161,0.6581,0.9997,0.6581,0.9997,1.9635592,2.2951133,0.0391592,0.045241717,0.134093798828125,0.142604158655405,0.09736244140625,2020,2.4129371234790287,34608.533809427805,19.11234474182129,299999.75,689272.0,47.20899963378906,0.00421850266456604,1730387200.0
ConvNN-381k,381800.0,last_layer,kron,0.1000000014901161,0.6717,0.9999,0.6724,0.99988,1.8553219,2.2879703,0.036241893,0.04507027,0.1248408984375,0.1384243502449989,0.09335408203125,2110,2.40735449305479,37936.3710778138,19.62790870666504,299999.75,684269.375,48.6131591796875,0.00429718713760376,1896775936.0
ConvNN-407k,407092.0,last_layer,kron,0.1000000014901161,0.6663,0.99986,0.6662,0.99986,1.8296447,2.245569,0.037936818,0.04683168,0.132007001953125,0.1454159559428691,0.09858427734375,2190,2.382446815183401,40455.13644331642,18.634401321411133,299999.75,674278.3125,49.828086853027344,0.004216884183883667,2022711424.0
ConvNN-442k,442803.0,last_layer,kron,0.1000000014901161,0.6587,0.9999,0.659,0.9999,1.8864546,2.3886495,0.03944591,0.05089613,0.13357904296875,0.1522919312834739,0.10139580078125,2270,2.540902365417663,44014.78036771835,20.552982330322266,299999.44,718254.5,49.65373229980469,0.004402521467208862,2200689920.0
ConvNN-470k,470351.0,last_layer,kron,0.1000000014901161,0.6699,0.99994,0.6692,0.99994,1.8350161,2.3510811,0.039908797,0.051949922,0.137106982421875,0.1563151368391513,0.10436521484375,2360,2.5135333723417816,46757.883319191445,20.444740295410156,299999.75,707301.5,51.22377395629883,0.0042837532520294186,2337842176.0
ConvNN-508k,508683.0,last_layer,kron,0.1000000014901161,0.6687,1.0,0.6684,1.0,1.8161248,2.3696978,0.040752146,0.054705635,0.13686728515625,0.1597157909631729,0.10501015625,2440,2.538737152590755,50579.32359293832,20.75650405883789,299999.75,711041.1875,51.983333587646484,0.004287836742401123,2528910336.0
ConvNN-548k,548878.0,last_layer,kron,0.1000000014901161,0.6684,1.0,0.6696,1.0,1.737549,2.3346317,0.041601844,0.057113886,0.13650330078125,0.1614166788482666,0.10430279296875,2530,2.523223182834514,54585.91053731393,20.1011905670166,299999.44,702379.625,53.28645324707031,0.004241630935668946,2729235712.0
