model,parameters (M),subset,hessian,prior precision,bma test acc. (%),bma train acc. (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace
cifar10_mobilenetv2_x0_5,0.82,last_layer,kron,0.0010000000474974513,48.65,50.108,2.1340692,114.82922,2.1241612,114.751274,0.08596587890625
cifar10_mobilenetv2_x0_75,1.48,last_layer,kron,0.0010000000474974513,47.11,50.068,2.1424272,120.253006,2.1326234,120.37825,0.051478251953125
cifar10_mobilenetv2_x1_0,2.35,last_layer,kron,0.0010000000474974513,47.15,49.868,2.142991,120.76407,2.1336608,120.7776,0.0447793896484375
cifar10_mobilenetv2_x1_4,4.5,last_layer,kron,0.0010000000474974513,45.63,48.818,2.1489327,121.509445,2.1377223,121.72158,0.03979654052734375
cifar10_repvgg_a0,7.96,last_layer,kron,0.0010000000474974513,89.15,95.44,1.0664109,6.526495,0.9854492,6.077249,0.02245442626953125
cifar10_repvgg_a1,12.94,last_layer,kron,0.0010000000474974513,89.31,95.78,1.1059765,7.0876226,1.0335189,6.7136984,0.020665673828125
cifar10_repvgg_a2,26.94,last_layer,kron,0.0010000000474974513,89.95,96.346,1.1634665,7.7790613,1.106075,7.595541,0.0195424560546875
cifar10_resnet20,0.28,last_layer,kron,0.0010000000474974513,85.96,92.724,0.46552688,0.6129832,0.2295611,0.30795756,0.041638564453125
cifar10_resnet32,0.47,last_layer,kron,0.0010000000474974513,88.73,96.054,0.39840588,0.77161556,0.18882953,0.36844033,0.0340675537109375
cifar10_resnet44,0.67,last_layer,kron,0.0010000000474974513,89.82,97.156,0.43686518,1.124494,0.26026493,0.6759144,0.029682236328125
cifar10_resnet56,0.86,last_layer,kron,0.0010000000474974513,89.04,95.854,0.57620543,1.8285877,0.432421,1.377537,0.02603114013671875
cifar10_shufflenetv2_x0_5,0.44,last_layer,kron,0.0010000000474974513,81.8,87.892,0.5640237,0.9225954,0.37989867,0.62339485,0.16863486328125
cifar10_shufflenetv2_x1_0,1.36,last_layer,kron,0.0010000000474974513,86.75,93.534,0.6237796,1.9562156,0.47935948,1.500785,0.0503096484375
cifar10_shufflenetv2_x1_5,2.58,last_layer,kron,0.0010000000474974513,88.23,95.526,0.73580515,2.8089771,0.5982468,2.2885103,0.0387717578125
cifar10_shufflenetv2_x2_0,5.55,last_layer,kron,0.0010000000474974513,88.35,95.794,0.771307,3.1700454,0.64549273,2.6474109,0.02918645263671875
cifar10_vgg11_bn,9.8,last_layer,kron,0.0010000000474974513,16.16,17.09,2.2662108,587.0461,2.2657416,595.3641,0.02318085205078125
cifar10_vgg13_bn,9.99,last_layer,kron,0.0010000000474974513,17.42,16.904,2.267303,594.16565,2.2654731,599.8403,0.01839135009765625
cifar10_vgg16_bn,15.3,last_layer,kron,0.0010000000474974513,14.71,16.11,2.271556,628.62994,2.2696593,629.9579,0.01206235595703125
cifar10_vgg19_bn,20.61,last_layer,kron,0.0010000000474974513,15.38,16.114,2.2733989,633.9956,2.2696455,636.07605,0.011109661865234375
