model,parameters,subset,hessian,prior precision,bayes loss,neg log marginal laplace
ConvNN-2k,2548.0,all,kron,opt layerwise,1.5951793,1.6562253125
ConvNN-5k,5001.0,all,kron,opt layerwise,1.5307025,1.62649
ConvNN-9k,9663.0,all,kron,opt layerwise,1.3265383,1.4574565625
ConvNN-15k,15888.0,all,kron,opt layerwise,1.2159677,1.4080284375
ConvNN-21k,21344.0,all,kron,opt layerwise,1.2180109,1.45121421875
ConvNN-30k,30119.0,all,kron,opt layerwise,1.1241493,1.40082859375
ConvNN-37k,37591.0,all,kron,opt layerwise,1.1527278,1.48257125
ConvNN-48k,48987.0,all,kron,opt layerwise,1.0609041,1.44288515625
ConvNN-62k,62006.0,all,kron,opt layerwise,1.0682868,1.52165265625
ConvNN-72k,72421.0,all,kron,opt layerwise,1.0574007,1.5616846875
ConvNN-87k,87930.0,all,kron,opt layerwise,1.1351024,1.730651875
ConvNN-100k,100421.0,all,kron,opt layerwise,1.1381037,1.801319375
ConvNN-118k,118551.0,all,kron,opt layerwise,1.1092612,1.8859440625
ConvNN-138k,138364.0,all,kron,opt layerwise,1.1247803,1.914979375
ConvNN-153k,153738.0,all,kron,opt layerwise,1.0720372,1.9571003125
ConvNN-175k,175981.0,all,kron,opt layerwise,1.0875602,2.00933890625
ConvNN-193k,193491.0,all,kron,opt layerwise,1.0967067,2.0660646875
ConvNN-218k,218355.0,all,kron,opt layerwise,1.0430126,2.03401703125
ConvNN-244k,244962.0,all,kron,opt layerwise,1.0755597,2.0416721875
ConvNN-265k,265295.0,all,kron,opt layerwise,1.0427023,2.01000359375
ConvNN-294k,294272.0,all,kron,opt layerwise,1.0469984,2.007626875
ConvNN-316k,316801.0,all,kron,opt layerwise,1.0404141,1.910201875
ConvNN-348k,348399.0,all,kron,opt layerwise,1.0071663,1.8331065625
ConvNN-381k,381800.0,all,kron,opt layerwise,0.98598886,1.668720625
ConvNN-407k,407092.0,all,kron,opt layerwise,0.9922558,1.743416875
ConvNN-442k,442803.0,all,kron,opt layerwise,1.0218403,1.734701875
ConvNN-470k,470351.0,all,kron,opt layerwise,1.0113431,1.7525046875
ConvNN-508k,508683.0,all,kron,opt layerwise,1.0251213,1.7256596875
ConvNN-548k,548878.0,all,kron,opt layerwise,1.0116308,1.6943159375
ConvNN-579k,579129.0,all,kron,opt layerwise,1.0165809,1.69227046875
ConvNN-621k,621574.0,all,kron,opt layerwise,1.0144311,1.69434359375
ConvNN-654k,654141.0,all,kron,opt layerwise,1.0301775,1.72222859375
ConvNN-699k,699207.0,all,kron,opt layerwise,1.0529721,1.72542328125
ConvNN-746k,746196.0,all,kron,opt layerwise,1.0225697,1.71233375
ConvNN-781k,781406.0,all,kron,opt layerwise,1.0283291,1.71875328125
ConvNN-830k,830585.0,all,kron,opt layerwise,1.0461885,1.7638228125
ConvNN-868k,868171.0,all,kron,opt layerwise,1.0320582,1.7280509375
ConvNN-919k,919971.0,all,kron,opt layerwise,1.0370748,1.7185975
ConvNN-973k,973754.0,all,kron,opt layerwise,1.035891,1.770364375
ConvNN-1013k,1013923.0,all,kron,opt layerwise,1.0382514,1.74995015625
ConvNN-1069k,1069836.0,all,kron,opt layerwise,1.0395998,1.79068875
ConvNN-1112k,1112441.0,all,kron,opt layerwise,1.0490685,1.7751996875
ConvNN-1170k,1170975.0,all,kron,opt layerwise,1.0358287,1.78980546875
ConvNN-1231k,1231552.0,all,kron,opt layerwise,1.0611099,1.7930121875
ConvNN-1276k,1276680.0,all,kron,opt layerwise,1.08132,1.8189275
ConvNN-1339k,1339327.0,all,kron,opt layerwise,1.0641949,1.82347578125
ConvNN-1386k,1386951.0,all,kron,opt layerwise,1.0566802,1.81008484375
ConvNN-1452k,1452219.0,all,kron,opt layerwise,1.0488718,1.821304375
