model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,extended kl,extended bayes loss train,extended gibbs loss train,extended BMA train accuracy
ConvNN-244k,244962.0,last_layer,kron,100.0,0.6471,0.99662,2.0539045,2.1365535,0.054577645,0.056084137,0.13344185546875,0.1325085221755504,0.076424384765625,1690,2.3797917263740183,24303.410768910355,15.811111450195312,99999.97,213675.6875,8.614753723144531,0.1513856201171875,1215142400.0,0.5237648,0.56680435,0.82808
ConvNN-265k,265295.0,last_layer,kron,100.0,0.6536,0.99754,1.9965329,2.0804574,0.049595624,0.050982494,0.127142490234375,0.1262081482040882,0.075225654296875,1770,2.3435854164275187,26326.687155707623,15.029869079589844,99999.97,208031.78125,8.670655250549316,0.1531643646240234,1316304256.0,0.52363694,0.56870145,0.82838
ConvNN-294k,294272.0,last_layer,kron,100.0,0.6457,0.99866,2.0966144,2.197895,0.039635967,0.040755328,0.11647123046875,0.1156182086503505,0.074862880859375,1850,2.490329870020581,29213.502929249655,16.690338134765625,99999.97,219819.40625,8.764476776123047,0.1496362030029296,1460642176.0,0.50749695,0.55904907,0.83776
ConvNN-316k,316801.0,last_layer,kron,100.0,0.6467,0.99952,2.2051558,2.3283317,0.028859738,0.02973227,0.1035123828125,0.1029616793459653,0.0732294091796875,1940,2.6428409183099832,31455.166609051572,19.43729591369629,99999.92,232828.71875,8.832050323486328,0.1573184585571289,1572723200.0,0.5101559,0.5714948,0.84136
ConvNN-348k,348399.0,last_layer,kron,100.0,0.6603,0.9998,2.1102223,2.2409227,0.024577001,0.025340544,0.098953173828125,0.0985144112473726,0.0731738671875,2020,2.587189250914528,34603.82216662073,18.44013023376465,99999.984,224115.0625,8.9522705078125,0.1558592498779296,1730152832.0,0.48465756,0.55128163,0.84522
ConvNN-381k,381800.0,last_layer,kron,100.0,0.6721,0.99988,2.061971,2.2082226,0.01799885,0.018574456,0.09010013671875,0.0899837037998437,0.071409248046875,2110,2.587225613074094,37931.59255740941,18.833480834960938,100000.0,220790.96874999997,9.04169750213623,0.1560304534912109,1896538112.0,0.4166033,0.48441914,0.86492
ConvNN-407k,407092.0,last_layer,kron,100.0,0.6686,0.99994,2.0290542,2.1762507,0.019674728,0.020315783,0.0933993359375,0.09316320497334,0.072847421875,2190,2.5808079291947528,40450.27476922747,17.767696380615234,99999.97,217630.4375,9.104024887084961,0.1543048858642578,2022469632.0,0.43171534,0.5015419,0.8605
ConvNN-442k,442803.0,last_layer,kron,100.0,0.6586,0.99992,2.1311135,2.3043816,0.018023193,0.01869244,0.091055947265625,0.0912846562188863,0.072592216796875,2270,2.744417191679824,44009.82090494511,19.45868682861328,99999.97,230431.81250000003,9.148938179016113,0.1599755111694336,2200443392.0,0.45067725,0.53328055,0.85468
ConvNN-470k,470351.0,last_layer,kron,100.0,0.6692,0.99998,2.0866594,2.2646956,0.017895298,0.018577136,0.09020390625,0.0903693919587135,0.071792255859375,2360,2.7317596356479052,46752.87400604619,19.412433624267578,99999.984,226423.04687500003,9.133820533752441,0.1552178909301758,2337593344.0,0.46254796,0.55052924,0.85362
ConvNN-508k,508683.0,last_layer,kron,100.0,0.6685,1.0,2.0818834,2.2645335,0.016215634,0.016855266,0.088447646484375,0.0887672776639461,0.07191201171875,2440,2.7709348310922493,50574.252313368204,19.485870361328125,99999.984,226519.1875,9.227412223815918,0.1549830017089843,2528658432.0,0.45350334,0.545653,0.85386
