model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL
ConvNN-2k,2548.0,all,kron,10.0,0.2909,0.28252,0.2898,0.28266,1.9452239,1.9735966,1.9565023,1.9851253,1.666221875,2.1595836,0.1744583
ConvNN-5k,5001.0,all,kron,10.0,0.4406,0.46412,0.4411,0.46404,1.530767,1.5734357,1.489906,1.5303535,1.6557109375,1.8663296,0.33597597
ConvNN-9k,9663.0,all,kron,10.0,0.5259,0.55544,0.5263,0.55576,1.3264025,1.4019376,1.2465594,1.3158144,1.51900921875,1.925512,0.6096976
ConvNN-15k,15888.0,all,kron,10.0,0.5634,0.62906,0.5637,0.62926,1.2149632,1.3612721,1.0593815,1.1837834,1.56756375,2.2573192,1.0735358
ConvNN-21k,21344.0,all,kron,10.0,0.573,0.64208,0.5725,0.641,1.2160248,1.4172062,1.0291089,1.1934228,1.688914375,2.6211357,1.4277129
ConvNN-30k,30119.0,all,kron,10.0,0.6068,0.70598,0.6062,0.70644,1.1201813,1.4063442,0.8745588,1.0891223,1.74282203125,3.0539217,1.9647995
ConvNN-37k,37591.0,all,kron,10.0,0.5965,0.71898,0.5962,0.71852,1.1456804,1.508444,0.8569236,1.1174312,1.94972609375,3.5890374,2.4716063
ConvNN-48k,48987.0,all,kron,10.0,0.6278,0.76088,0.6262,0.7592,1.0561019,1.5029197,0.76523006,1.0739354,2.01022984375,4.127246,3.0533106
ConvNN-62k,62006.0,all,kron,10.0,0.6339,0.80742,0.6328,0.80444,1.0550288,1.7284038,0.6804871,1.0944928,2.35123765625,5.0866694,3.9921768
ConvNN-72k,72421.0,all,kron,10.0,0.6451,0.83918,0.6432,0.8368,1.0365115,1.8430462,0.6254329,1.0911801,2.55532515625,5.7417746,4.650594
ConvNN-87k,87930.0,all,kron,10.0,0.6181,0.85248,0.6164,0.84966,1.103353,2.1307158,0.62960577,1.1928985,3.007998125,6.8855524,5.6926537
ConvNN-100k,100421.0,all,kron,10.0,0.624,0.87552,0.6232,0.86962,1.1014365,2.2878664,0.60175294,1.2302698,3.253754375,7.6737776,6.4435077
ConvNN-118k,118551.0,all,kron,10.0,0.6407,0.92652,0.6388,0.92038,1.0603297,2.6399012,0.5340855,1.3216536,3.7103671875,9.005706,7.6840525
ConvNN-138k,138364.0,all,kron,10.0,0.6324,0.94618,0.6341,0.94002,1.0630088,3.0044615,0.5233401,1.4658588,3.9173721875,10.122435,8.656576
ConvNN-153k,153738.0,all,kron,10.0,0.6454,0.95764,0.646,0.95004,1.0320673,3.2419674,0.5330474,1.6594931,4.175541875,11.158994,9.4995
ConvNN-175k,175981.0,all,kron,10.0,0.6466,0.97082,0.6455,0.9647,1.0456446,3.642413,0.5406009,1.8831047,4.435743125,12.479518,10.596414
ConvNN-193k,193491.0,all,kron,10.0,0.6461,0.9781,0.6439,0.9727,1.0509796,4.026582,0.55268234,2.1214972,4.7166475,13.653167,11.53167
ConvNN-218k,218355.0,all,kron,10.0,0.6532,0.98966,0.6541,0.98388,1.0341873,4.745905,0.57868105,2.647222,4.7741475,15.172333,12.525111
ConvNN-244k,244962.0,all,kron,10.0,0.646,0.99624,0.6431,0.98786,1.0804995,5.9382334,0.63538426,3.5034428,5.0229515625,17.261131,13.7576885
ConvNN-265k,265295.0,all,kron,10.0,0.6517,0.997,0.6502,0.99054,1.0747613,6.2439795,0.6538002,3.8061373,5.0476640625,18.327118,14.52098
ConvNN-294k,294272.0,all,kron,10.0,0.6447,0.99844,0.6461,0.98722,1.1065633,7.2738857,0.70545465,4.656728,5.1896390625,20.375244,15.718517
ConvNN-316k,316801.0,all,kron,10.0,0.6436,0.99948,0.6439,0.99278,1.1281753,8.576774,0.75564593,5.7614393,4.9367690625,22.051369,16.289928
ConvNN-348k,348399.0,all,kron,10.0,0.6601,0.99966,0.6524,0.9853,1.1442431,9.589918,0.8018765,6.7328753,4.802503125,24.033579,17.300703
ConvNN-381k,381800.0,all,kron,10.0,0.6699,0.9998,0.669,0.99226,1.171742,11.446322,0.868507,8.499013,4.43783625,26.648342,18.14933
ConvNN-407k,407092.0,all,kron,10.0,0.6653,0.9999,0.6657,0.98886,1.1752614,11.167483,0.87110305,8.301166,4.64311125,27.56689,19.265724
ConvNN-442k,442803.0,all,kron,10.0,0.6574,0.99992,0.6538,0.98936,1.2222756,12.5220175,0.9199656,9.467432,4.6468103125,30.028513,20.56108
ConvNN-470k,470351.0,all,kron,10.0,0.665,0.99988,0.6604,0.98834,1.2148362,12.550412,0.9179014,9.505866,4.6617053125,31.077377,21.57151
ConvNN-508k,508683.0,all,kron,10.0,0.6665,0.99994,0.6614,0.98942,1.2489718,13.879365,0.9716121,10.828338,4.727044375,33.850883,23.022545
ConvNN-548k,548878.0,all,kron,10.0,0.6665,0.99998,0.6624,0.98502,1.2541614,14.29554,0.9882308,11.284422,4.615583125,35.64824,24.363817
ConvNN-579k,579129.0,all,kron,10.0,0.6759,0.9999,0.6666,0.98962,1.2720187,14.756382,1.0087513,11.730071,4.66461875,37.235813,25.505743
ConvNN-621k,621574.0,all,kron,10.0,0.6809,0.99996,0.6679,0.98392,1.2801169,15.152819,1.0276731,12.182022,4.7269465625,39.283657,27.101635
ConvNN-654k,654141.0,all,kron,10.0,0.6705,0.99986,0.6621,0.9883,1.2923865,15.449156,1.0350182,12.397469,4.8227065625,40.770966,28.373495
ConvNN-699k,699207.0,all,kron,10.0,0.6613,0.99988,0.6537,0.97802,1.3281456,16.335611,1.0732642,13.260516,4.8293809375,43.269127,30.00861
ConvNN-746k,746196.0,all,kron,10.0,0.6782,0.99994,0.6719,0.98654,1.299811,15.743904,1.0598638,12.866346,4.8442146875,44.58771,31.721365
ConvNN-781k,781406.0,all,kron,10.0,0.6806,0.99988,0.6726,0.98456,1.3209044,16.435162,1.0822045,13.50517,4.8935803125,46.54824,33.04307
ConvNN-830k,830585.0,all,kron,10.0,0.6736,0.99996,0.665,0.9808,1.3385255,16.813831,1.0965056,13.812882,5.036393125,48.774857,34.961975
ConvNN-868k,868171.0,all,kron,10.0,0.6848,0.99994,0.6727,0.97278,1.3356111,16.959835,1.105071,14.050208,4.93981375,50.27388,36.22367
ConvNN-919k,919971.0,all,kron,10.0,0.6811,0.99982,0.67,0.97502,1.3417575,17.236202,1.11703,14.37363,4.974973125,52.50445,38.13082
ConvNN-973k,973754.0,all,kron,10.0,0.6807,0.99988,0.6671,0.96856,1.3431464,17.024767,1.1103706,14.09328,5.0857296875,54.277573,40.18429
ConvNN-1013k,1013923.0,all,kron,10.0,0.6873,0.99992,0.6732,0.98012,1.3495153,17.612083,1.1266395,14.69891,5.0466975,56.29592,41.59701
ConvNN-1069k,1069836.0,all,kron,10.0,0.6875,0.99984,0.6732,0.97494,1.355327,17.707924,1.1361296,14.851129,5.247549375,58.668037,43.81691
