model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expanded kl
ConvNN-2k,2548.0,last_layer,kron,1000.0,0.4187,0.42438,1.5954086,1.5962312,1.5742847,1.5750953,1.80222890625,1.8024443193435669,0.2273490234375,170,0.9993355341590038,0.978551935937378,0.9167900085449219,2.7451663,1.7647902965545652,4.765381336212158,37545.3515625
ConvNN-5k,5001.0,last_layer,kron,1000.0,0.4401,0.4644,1.5319608,1.5331852,1.4896898,1.4908713,1.6896090625,1.68992787273407,0.1990565625,260,1.0907322484053554,1.0970216881449222,1.0494015216827393,3.1218119,2.3080391883850093,4.462361812591553,44883.34375
ConvNN-9k,9663.0,last_layer,kron,1000.0,0.5248,0.55548,1.3313874,1.3328372,1.2447903,1.2461364,1.45359984375,1.4540791613006592,0.207942734375,340,1.1588182651324743,1.3802488370629005,1.254501223564148,5.4957647,4.988343715667725,4.563366889953613,58600.109375
ConvNN-15k,15888.0,last_layer,kron,1000.0,0.5636,0.62836,1.226215,1.2282777,1.0495809,1.0513452,1.31792125,1.3184496627426148,0.26710443359375,430,1.1822452744748608,1.8269897836005813,1.5289957523345947,16.872543,18.120494842529297,5.171274185180664,77978.625
ConvNN-21k,21344.0,last_layer,kron,1000.0,0.5718,0.64156,1.2327771,1.2351925,1.0113814,1.0133444,1.3298021875,1.330497395362854,0.31715298828125,510,1.205431732333066,2.060104875589921,1.691178321838379,26.011402,29.29486465454102,5.637748718261719,87131.71875
ConvNN-30k,30119.0,last_layer,kron,1000.0,0.6053,0.70486,1.1536659,1.1565295,0.84243834,0.8445051,1.183037578125,1.1842959310150143,0.339790859375,590,1.1493974209580304,2.3438657656514725,1.8651856184005737,90.826965,102.05241394042969,5.839517116546631,100187.5859375
ConvNN-37k,37591.0,last_layer,kron,1000.0,0.5969,0.7188,1.1966144,1.2002722,0.8105915,0.81301576,1.16355109375,1.1648231808662417,0.351807421875,680,1.1958460240099196,2.51549810454825,2.075861692428589,138.93849,163.633544921875,5.942284107208252,108168.203125
ConvNN-48k,48987.0,last_layer,kron,1000.0,0.6275,0.76022,1.1106751,1.114214,0.69697124,0.69912356,1.09152109375,1.0928252801322935,0.39370171875,760,1.113345706804615,2.891148664434448,2.1438632011413574,744.218,825.6807861328126,6.296741008758545,124855.640625
ConvNN-62k,62006.0,last_layer,kron,1000.0,0.6328,0.80696,1.1796952,1.1848723,0.5654417,0.5679092,0.989303359375,0.9912016029930116,0.423292421875,850,1.1843379549415993,3.2758833122524043,2.9641780853271484,4705.4873,5569.611328124999,6.524435520172119,142612.453125
ConvNN-72k,72421.0,last_layer,kron,1000.0,0.6442,0.83788,1.206753,1.2124127,0.48484957,0.48706988,0.9401640625,0.9421720625019072,0.4551021875,930,1.2127213677079518,3.5015869669504984,3.535536766052246,35363.977,42883.1484375,6.773744583129883,152306.921875
