model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params
ConvNN-579k,579129.0,last_layer,kron,0.009999999776482582,0.6765,1.0,1.6484754,2.2507327,0.041289505,0.057891123,0.19338890625,0.2324874315905571,0.17459630859375,2610
ConvNN-621k,621574.0,last_layer,kron,0.009999999776482582,0.6811,1.0,1.580759,2.195236,0.04265178,0.060957316,0.1966783984375,0.23748196474671363,0.1765246484375,2690
ConvNN-654k,654141.0,last_layer,kron,0.009999999776482582,0.6718,0.99998,1.6563005,2.3094912,0.044063266,0.06411776,0.19954884765625,0.24252631415367126,0.1784085546875,2780
ConvNN-699k,699207.0,last_layer,kron,0.009999999776482582,0.6672,1.0,1.6211914,2.32491,0.046681054,0.06917,0.20445685546875,0.2519249591064453,0.1827549609375,2860
ConvNN-746k,746196.0,last_layer,kron,0.009999999776482582,0.6796,1.0,1.515905,2.1718225,0.046902884,0.069580786,0.20593169921875,0.2515495945239067,0.18196880859375,2950
ConvNN-781k,781406.0,last_layer,kron,0.009999999776482582,0.6841,1.0,1.4817071,2.15121,0.047512054,0.07119903,0.21137970703125,0.2581940296840668,0.186995,3030
ConvNN-830k,830585.0,last_layer,kron,0.009999999776482582,0.6748,1.0,1.5175239,2.2204366,0.048759095,0.07296855,0.2179437109375,0.26633519065141675,0.193366640625,3110
ConvNN-868k,868171.0,last_layer,kron,0.009999999776482582,0.6866,1.0,1.4352103,2.1212192,0.049947597,0.07589106,0.21848220703125,0.26803022277355193,0.19213916015625,3200
ConvNN-919k,919971.0,last_layer,kron,0.009999999776482582,0.6847,0.99998,1.4225838,2.141222,0.052256405,0.081153475,0.2177062890625,0.2705201739668846,0.18936669921875,3280
ConvNN-973k,973754.0,last_layer,kron,0.009999999776482582,0.6855,1.0,1.4059627,2.1137156,0.052654173,0.08218334,0.227772421875,0.281770057451725,0.19958671875,3370
ConvNN-1013k,1013923.0,last_layer,kron,0.009999999776482582,0.69,1.0,1.3598186,2.1028097,0.054901157,0.08736205,0.22800177734375,0.28600341819763186,0.1986413671875,3450
ConvNN-1069k,1069836.0,last_layer,kron,0.009999999776482582,0.6903,0.99996,1.3425262,2.080693,0.05603208,0.09055568,0.229156953125,0.2883858976221084,0.19783021484375,3530
ConvNN-1112k,1112441.0,last_layer,kron,0.009999999776482582,0.6877,1.0,1.2958367,2.0538795,0.058393516,0.09526357,0.235650546875,0.2993717150783539,0.20410814453125,3620
ConvNN-1170k,1170975.0,last_layer,kron,0.009999999776482582,0.6971,0.99998,1.2851601,2.039269,0.058934607,0.097607754,0.2378844921875,0.3027797658896446,0.20517201171875,3700
ConvNN-1231k,1231552.0,last_layer,kron,0.009999999776482582,0.6906,1.0,1.2989941,2.1059139,0.061787482,0.1042209,0.243664921875,0.3153424203968048,0.2111215234375,3790
ConvNN-1276k,1276680.0,last_layer,kron,0.009999999776482582,0.683,1.0,1.2974797,2.1296961,0.063747585,0.10897172,0.24817099609375,0.3236162341427803,0.21464451171875,3870
ConvNN-1339k,1339327.0,last_layer,kron,0.009999999776482582,0.6916,1.0,1.2720662,2.087945,0.064386174,0.11137565,0.24975412109375,0.32648725381612775,0.2151116015625,3950
ConvNN-1386k,1386951.0,last_layer,kron,0.009999999776482582,0.6963,0.99998,1.2440046,2.0558913,0.06514565,0.11265994,0.25194689453125,0.32851704800844195,0.215857109375,4040
ConvNN-1452k,1452219.0,last_layer,kron,0.009999999776482582,0.6995,0.99998,1.2191272,2.0040827,0.06424431,0.11004953,0.2524160546875,0.3247854488325119,0.21473591796875,4120
