label,map_acc_test,map_nll_test,bayes_loss_test,gibbs_loss_test,bayes_loss_train,gibbs_loss_train,bma_acc_test,bma_acc_train,kl
ConvNN-2k,0.2907,1.9453559814453125,"tensor(1.9105, device='cuda:0')","tensor(1.9126, device='cuda:0')","tensor(1.9215, device='cuda:0')","tensor(1.9236, device='cuda:0')",0.3019,0.29404,12749.2099609375
ConvNN-5k,0.441,1.5319006225585938,"tensor(1.5239, device='cuda:0')","tensor(1.5320, device='cuda:0')","tensor(1.4821, device='cuda:0')","tensor(1.4899, device='cuda:0')",0.4465,0.46684,25030.625
ConvNN-9k,0.5253,1.3304089721679688,"tensor(1.3207, device='cuda:0')","tensor(1.3317, device='cuda:0')","tensor(1.2336, device='cuda:0')","tensor(1.2435, device='cuda:0')",0.5267,0.55912,48352.62890625
ConvNN-15k,0.5642,1.226051318359375,"tensor(1.2192, device='cuda:0')","tensor(1.2338, device='cuda:0')","tensor(1.0466, device='cuda:0')","tensor(1.0589, device='cuda:0')",0.5651,0.62906,79492.40625
ConvNN-21k,0.5727,1.2325356201171875,"tensor(1.2235, device='cuda:0')","tensor(1.2394, device='cuda:0')","tensor(1.0074, device='cuda:0')","tensor(1.0201, device='cuda:0')",0.5743,0.64554,106744.6953125
ConvNN-30k,0.6063,1.1537078491210937,"tensor(1.1423, device='cuda:0')","tensor(1.1657, device='cuda:0')","tensor(0.8406, device='cuda:0')","tensor(0.8570, device='cuda:0')",0.6088,0.7074,150616.609375
ConvNN-37k,0.5968,1.1968935424804688,"tensor(1.1793, device='cuda:0')","tensor(1.2075, device='cuda:0')","tensor(0.8082, device='cuda:0')","tensor(0.8263, device='cuda:0')",0.5976,0.72066,187956.640625
ConvNN-48k,0.6282,1.111358544921875,"tensor(1.0954, device='cuda:0')","tensor(1.1264, device='cuda:0')","tensor(0.6951, device='cuda:0')","tensor(0.7134, device='cuda:0')",0.6299,0.76238,244957.53125
ConvNN-62k,0.6365,1.1795855224609375,"tensor(1.1457, device='cuda:0')","tensor(1.1963, device='cuda:0')","tensor(0.5652, device='cuda:0')","tensor(0.5881, device='cuda:0')",0.6371,0.81008,310059.96875
ConvNN-72k,0.645,1.2074843017578125,"tensor(1.1631, device='cuda:0')","tensor(1.2251, device='cuda:0')","tensor(0.4868, device='cuda:0')","tensor(0.5109, device='cuda:0')",0.6455,0.84084,362145.0625
ConvNN-87k,0.6169,1.3439667236328126,"tensor(1.2878, device='cuda:0')","tensor(1.3708, device='cuda:0')","tensor(0.4585, device='cuda:0')","tensor(0.4859, device='cuda:0')",0.6175,0.85394,439601.0
ConvNN-100k,0.6245,1.4085123901367187,"tensor(1.3305, device='cuda:0')","tensor(1.4330, device='cuda:0')","tensor(0.4063, device='cuda:0')","tensor(0.4356, device='cuda:0')",0.6255,0.8761,502017.6875
ConvNN-118k,0.6415,1.4951602172851564,"tensor(1.3818, device='cuda:0')","tensor(1.5298, device='cuda:0')","tensor(0.2790, device='cuda:0')","tensor(0.3075, device='cuda:0')",0.6453,0.92738,592645.0
ConvNN-138k,0.6316,1.6275770263671876,"tensor(1.4718, device='cuda:0')","tensor(1.6547, device='cuda:0')","tensor(0.2313, device='cuda:0')","tensor(0.2591, device='cuda:0')",0.6356,0.94544,691673.1875
ConvNN-153k,0.6457,1.602741552734375,"tensor(1.4409, device='cuda:0')","tensor(1.6424, device='cuda:0')","tensor(0.2012, device='cuda:0')","tensor(0.2268, device='cuda:0')",0.6489,0.9564,768487.5
ConvNN-175k,0.6487,1.719931298828125,"tensor(1.5221, device='cuda:0')","tensor(1.7571, device='cuda:0')","tensor(0.1717, device='cuda:0')","tensor(0.1965, device='cuda:0')",0.6518,0.96888,879691.0
ConvNN-193k,0.6464,1.82177265625,"tensor(1.5840, device='cuda:0')","tensor(1.8544, device='cuda:0')","tensor(0.1493, device='cuda:0')","tensor(0.1737, device='cuda:0')",0.6507,0.97724,967221.25
ConvNN-218k,0.6537,1.88990634765625,"tensor(1.6132, device='cuda:0')","tensor(1.9225, device='cuda:0')","tensor(0.1118, device='cuda:0')","tensor(0.1318, device='cuda:0')",0.6572,0.98804,1091549.75
ConvNN-244k,0.6476,2.1176635009765623,"tensor(1.7640, device='cuda:0')","tensor(2.1397, device='cuda:0')","tensor(0.0881, device='cuda:0')","tensor(0.1061, device='cuda:0')",0.6513,0.99464,1224616.25
ConvNN-265k,0.6541,2.061504650878906,"tensor(1.7034, device='cuda:0')","tensor(2.0722, device='cuda:0')","tensor(0.0828, device='cuda:0')","tensor(0.0996, device='cuda:0')",0.6576,0.99584,1326289.25
ConvNN-294k,0.6456,2.17710966796875,"tensor(1.7639, device='cuda:0')","tensor(2.1754, device='cuda:0')","tensor(0.0719, device='cuda:0')","tensor(0.0869, device='cuda:0')",0.652,0.99752,1471173.125
ConvNN-316k,0.6473,2.30305791015625,"tensor(1.8475, device='cuda:0')","tensor(2.3036, device='cuda:0')","tensor(0.0595, device='cuda:0')","tensor(0.0728, device='cuda:0')",0.651,0.99878,1583849.0
ConvNN-348k,0.6609,2.2140647705078127,"tensor(1.7644, device='cuda:0')","tensor(2.2080, device='cuda:0')","tensor(0.0519, device='cuda:0')","tensor(0.0630, device='cuda:0')",0.6644,0.99946,1741864.0
ConvNN-381k,0.6725,2.1778414794921876,"tensor(1.7210, device='cuda:0')","tensor(2.1673, device='cuda:0')","tensor(0.0412, device='cuda:0')","tensor(0.0498, device='cuda:0')",0.6727,0.99978,1909023.5
ConvNN-407k,0.6677,2.1463154541015625,"tensor(1.6841, device='cuda:0')","tensor(2.1287, device='cuda:0')","tensor(0.0442, device='cuda:0')","tensor(0.0535, device='cuda:0')",0.6719,0.99972,2035425.875
ConvNN-442k,0.6591,2.2691858642578127,"tensor(1.7749, device='cuda:0')","tensor(2.2453, device='cuda:0')","tensor(0.0420, device='cuda:0')","tensor(0.0511, device='cuda:0')",0.6605,0.99976,2213983.25
